AmpId	primerId	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV	non_target_count
28729_2_amp_17	28729_2	17.0	17.0	Ic_34_23503C00393.1	Ic	I	34_23503C00393.1	54086.0	328.0	11.0	0.0	4.0	2.0	0
28729_3_amp_1	28729_3	1.0	17.0	III_14_1121.1	III	III	14_1121.1	1119263.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_2	28729_3	2.0	17.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2949.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_3	28729_3	3.0	17.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38359.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_4	28729_3	4.0	17.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3627.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_5	28729_3	5.0	17.0	IV_17_22599C00351.1	IV	IV	17_22599C00351.1	29600.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_6	28729_3	6.0	17.0	IV_18_22602C00720.1	IV	IV	18_22602C00720.1	1773.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_7	28729_3	7.0	17.0	I_1_22555C00006.1	I	I	1_22555C00006.1	142040.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_8	28729_3	8.0	17.0	I_35_18770C00031.1	I	I	35_18770C00031.1	41609.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_9	28729_3	9.0	17.0	I_4_22608C00016.1	I	I	4_22608C00016.1	72206.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_10	28729_3	10.0	17.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205665.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_11	28729_3	11.0	17.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7384.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_12	28729_3	12.0	17.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38523.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_13	28729_3	13.0	17.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1883.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_14	28729_3	14.0	17.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38821.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_15	28729_3	15.0	17.0	Ic_32_1122.1	Ic	I	32_1122.1	4522403.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_16	28729_3	16.0	17.0	Ic_33_6266C00031.1	Ic	I	33_6266C00031.1	58212.0	330.0	11.0	0.0	4.0	2.0	0
28729_3_amp_17	28729_3	17.0	17.0	Ic_34_23503C00393.1	Ic	I	34_23503C00393.1	54085.0	330.0	11.0	0.0	4.0	2.0	0
28729_4_amp_1	28729_4	1.0	14.0	III_11_6264C00005.1	III	III	11_6264C00005.1	323914.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_2	28729_4	2.0	14.0	III_14_1121.1	III	III	14_1121.1	1119258.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_3	28729_4	3.0	14.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2944.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_4	28729_4	4.0	14.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38354.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_5	28729_4	5.0	14.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3622.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_6	28729_4	6.0	14.0	IV_20_6269C00006.1	IV	IV	20_6269C00006.1	522703.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_7	28729_4	7.0	14.0	IV_39_21414C00007.1	IV	IV	39_21414C00007.1	20679.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_8	28729_4	8.0	14.0	IV_7_22597C00040.1	IV	IV	7_22597C00040.1	6288.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_9	28729_4	9.0	14.0	IV_8_22598C00555.1	IV	IV	8_22598C00555.1	11699.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_10	28729_4	10.0	14.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205660.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_11	28729_4	11.0	14.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7379.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_12	28729_4	12.0	14.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38518.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_13	28729_4	13.0	14.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1878.0	340.0	5.0	0.0	5.0	4.0	0
28729_4_amp_14	28729_4	14.0	14.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38816.0	340.0	5.0	0.0	5.0	4.0	0
28729_5_amp_1	28729_5	1.0	14.0	III_11_6264C00005.1	III	III	11_6264C00005.1	323915.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_2	28729_5	2.0	14.0	III_14_1121.1	III	III	14_1121.1	1119259.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_3	28729_5	3.0	14.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2945.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_4	28729_5	4.0	14.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38355.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_5	28729_5	5.0	14.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3623.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_6	28729_5	6.0	14.0	IV_20_6269C00006.1	IV	IV	20_6269C00006.1	522704.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_7	28729_5	7.0	14.0	IV_39_21414C00007.1	IV	IV	39_21414C00007.1	20680.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_8	28729_5	8.0	14.0	IV_7_22597C00040.1	IV	IV	7_22597C00040.1	6289.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_9	28729_5	9.0	14.0	IV_8_22598C00555.1	IV	IV	8_22598C00555.1	11700.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_10	28729_5	10.0	14.0	I_5_22828C00006.2	I	I	5_22828C00006.2	205661.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_11	28729_5	11.0	14.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7380.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_12	28729_5	12.0	14.0	Ia_24_14478C00002.1	Ia	I	24_14478C00002.1	38519.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_13	28729_5	13.0	14.0	Ia_25_17329C00054.1	Ia	I	25_17329C00054.1	1879.0	338.0	5.0	0.0	5.0	4.0	0
28729_5_amp_14	28729_5	14.0	14.0	Ia_26_17150C00051.1	Ia	I	26_17150C00051.1	38817.0	338.0	5.0	0.0	5.0	4.0	0
28729_8_amp_1	28729_8	1.0	13.0	III_11_6264C00005.1	III	III	11_6264C00005.1	323916.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_2	28729_8	2.0	13.0	III_12_6265C00001.1	III	III	12_6265C00001.1	52627.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_3	28729_8	3.0	13.0	III_13_6010C00001.1	III	III	13_6010C00001.1	1735766.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_4	28729_8	4.0	13.0	III_14_1121.1	III	III	14_1121.1	1119260.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_5	28729_8	5.0	13.0	III_15_10759C00203.1	III	III	15_10759C00203.1	10019.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_6	28729_8	6.0	13.0	III_36_22311C00010.1	III	III	36_22311C00010.1	2826.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_7	28729_8	7.0	13.0	III_37_9940C00464.1	III	III	37_9940C00464.1	38236.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_8	28729_8	8.0	13.0	III_40_23543C00152.1	III	III	40_23543C00152.1	252135.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_9	28729_8	9.0	13.0	III_41_22826C00507.1	III	III	41_22826C00507.1	3624.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_10	28729_8	10.0	13.0	Ia_23_10528C00010.1	Ia	I	23_10528C00010.1	7381.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_11	28729_8	11.0	13.0	Ic_32_1122.1	Ic	I	32_1122.1	4522280.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_12	28729_8	12.0	13.0	Ic_33_6266C00031.1	Ic	I	33_6266C00031.1	58209.0	456.0	4.0	0.0	9.0	0.0	0
28729_8_amp_13	28729_8	13.0	13.0	Ic_34_23503C00393.1	Ic	I	34_23503C00393.1	54082.0	456.0	4.0	0.0	9.0	0.0	0
393_4_amp_1	393_4	1.0	9.0	III_11_6264C00030.1	III	III	11_6264C00030.1	7444.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_2	393_4	2.0	9.0	III_12_6265C00057.1	III	III	12_6265C00057.1	6113.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_3	393_4	3.0	9.0	III_14_1121.1	III	III	14_1121.1	6649086.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_4	393_4	4.0	9.0	III_36_22311C00016.1	III	III	36_22311C00016.1	93659.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_5	393_4	5.0	9.0	III_37_9940C00393.1	III	III	37_9940C00393.1	9251.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_6	393_4	6.0	9.0	III_40_23543C00119.1	III	III	40_23543C00119.1	37192.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_7	393_4	7.0	9.0	III_41_22826C00530.1	III	III	41_22826C00530.1	3271.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_8	393_4	8.0	9.0	Ia_23_10528C00132.1	Ia	I	23_10528C00132.1	7408.0	635.0	2.0	0.0	7.0	0.0	0
393_4_amp_9	393_4	9.0	9.0	Ia_30_6268C00058.1	Ia	I	30_6268C00058.1	117258.0	635.0	2.0	0.0	7.0	0.0	0
393_7_amp_1	393_7	1.0	23.0	III_11_6264C00030.1	III	III	11_6264C00030.1	7718.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_2	393_7	2.0	23.0	III_14_1121.1	III	III	14_1121.1	6649089.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_3	393_7	3.0	23.0	III_36_22311C00016.1	III	III	36_22311C00016.1	93662.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_4	393_7	4.0	23.0	III_37_9940C00393.1	III	III	37_9940C00393.1	9525.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_5	393_7	5.0	23.0	III_41_22826C00530.1	III	III	41_22826C00530.1	3274.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_6	393_7	6.0	23.0	II_10_6272C00031.1	II	II	10_6272C00031.1	2974.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_7	393_7	7.0	23.0	II_9_2088.2	II	II	9_2088.2	2552694.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_8	393_7	8.0	23.0	IV_16_6263.1	IV	IV	16_6263.1	6017720.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_9	393_7	9.0	23.0	IV_17_22599C00038.1	IV	IV	17_22599C00038.1	26442.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_10	393_7	10.0	23.0	IV_18_22602C00963.1	IV	IV	18_22602C00963.1	16214.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_11	393_7	11.0	23.0	IV_19_6271C00002.1	IV	IV	19_6271C00002.1	571229.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_12	393_7	12.0	23.0	IV_39_21414C00019.1	IV	IV	39_21414C00019.1	28100.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_13	393_7	13.0	23.0	IV_7_22597C00314.1	IV	IV	7_22597C00314.1	28087.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_14	393_7	14.0	23.0	IV_8_22598C00368.1	IV	IV	8_22598C00368.1	1494.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_15	393_7	15.0	23.0	I_1_22555C00039.1	I	I	1_22555C00039.1	35119.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_16	393_7	16.0	23.0	I_35_18770C00044.1	I	I	35_18770C00044.1	7088.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_17	393_7	17.0	23.0	I_38_22827C00048.1	I	I	38_22827C00048.1	1169.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_18	393_7	18.0	23.0	I_4_22608C00044.1	I	I	4_22608C00044.1	50393.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_19	393_7	19.0	23.0	I_5_22828C00025.2	I	I	5_22828C00025.2	34834.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_20	393_7	20.0	23.0	Ia_23_10528C00132.1	Ia	I	23_10528C00132.1	7682.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_21	393_7	21.0	23.0	Ia_24_14478C00038.1	Ia	I	24_14478C00038.1	3198.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_22	393_7	22.0	23.0	Ia_25_17329C00108.1	Ia	I	25_17329C00108.1	3344.0	358.0	9.0	2.0	5.0	7.0	1
393_7_amp_23	393_7	23.0	23.0	Ia_26_17150C00102.1	Ia	I	26_17150C00102.1	3269.0	358.0	9.0	2.0	5.0	7.0	1
393_8_amp_1	393_8	1.0	4.0	III_13_6010C00001.1	III	III	13_6010C00001.1	481668.0	699.0	1.0	1.0	1.0	1.0	0
393_8_amp_2	393_8	2.0	4.0	II_10_6272C00031.1	II	II	10_6272C00031.1	3088.0	699.0	1.0	1.0	1.0	1.0	0
393_8_amp_3	393_8	3.0	4.0	IV_19_6271C00002.1	IV	IV	19_6271C00002.1	570774.0	699.0	1.0	1.0	1.0	1.0	0
393_8_amp_4	393_8	4.0	4.0	Ia_30_6268C00058.1	Ia	I	30_6268C00058.1	116806.0	699.0	1.0	1.0	1.0	1.0	0
393_11_amp_1	393_11	1.0	13.0	III_11_6264C00030.1	III	III	11_6264C00030.1	7448.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_2	393_11	2.0	13.0	III_12_6265C00057.1	III	III	12_6265C00057.1	6117.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_3	393_11	3.0	13.0	III_14_1121.1	III	III	14_1121.1	6649152.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_4	393_11	4.0	13.0	III_36_22311C00016.1	III	III	36_22311C00016.1	93725.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_5	393_11	5.0	13.0	III_37_9940C00393.1	III	III	37_9940C00393.1	9255.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_6	393_11	6.0	13.0	III_40_23543C00119.1	III	III	40_23543C00119.1	37258.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_7	393_11	7.0	13.0	III_41_22826C00530.1	III	III	41_22826C00530.1	3337.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_8	393_11	8.0	13.0	Ia_21_284.1	Ia	I	21_284.1	1916279.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_9	393_11	9.0	13.0	Ia_23_10528C00132.1	Ia	I	23_10528C00132.1	7412.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_10	393_11	10.0	13.0	Ia_27_19479C00008.1	Ia	I	27_19479C00008.1	184101.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_11	393_11	11.0	13.0	Ia_29_19480C00019.1	Ia	I	29_19480C00019.1	144450.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_12	393_11	12.0	13.0	Ia_30_6268C00058.1	Ia	I	30_6268C00058.1	117324.0	565.0	6.0	0.0	7.0	0.0	0
393_11_amp_13	393_11	13.0	13.0	Ia_31_6270C00038.1	Ia	I	31_6270C00038.1	7898.0	565.0	6.0	0.0	7.0	0.0	0
393_12_amp_1	393_12	1.0	26.0	III_11_6264C00030.1	III	III	11_6264C00030.1	7995.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_2	393_12	2.0	26.0	III_12_6265C00057.1	III	III	12_6265C00057.1	6664.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_3	393_12	3.0	26.0	III_13_6010C00001.1	III	III	13_6010C00001.1	481684.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_4	393_12	4.0	26.0	III_14_1121.1	III	III	14_1121.1	6648650.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_5	393_12	5.0	26.0	III_15_10759C00315.1	III	III	15_10759C00315.1	24484.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_6	393_12	6.0	26.0	III_36_22311C00016.1	III	III	36_22311C00016.1	93223.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_7	393_12	7.0	26.0	III_37_9940C00393.1	III	III	37_9940C00393.1	9802.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_8	393_12	8.0	26.0	III_40_23543C00119.1	III	III	40_23543C00119.1	36756.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_9	393_12	9.0	26.0	III_41_22826C00530.1	III	III	41_22826C00530.1	2835.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_10	393_12	10.0	26.0	I_1_22555C00039.1	I	I	1_22555C00039.1	34680.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_11	393_12	11.0	26.0	I_35_18770C00044.1	I	I	35_18770C00044.1	7365.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_12	393_12	12.0	26.0	I_38_22827C00048.1	I	I	38_22827C00048.1	1446.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_13	393_12	13.0	26.0	I_4_22608C00044.1	I	I	4_22608C00044.1	49954.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_14	393_12	14.0	26.0	I_5_22828C00025.2	I	I	5_22828C00025.2	35111.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_15	393_12	15.0	26.0	I_6_22825C00448.1	I	I	6_22825C00448.1	1753.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_16	393_12	16.0	26.0	Ia_21_284.1	Ia	I	21_284.1	1916826.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_17	393_12	17.0	26.0	Ia_22_14731C00067.1	Ia	I	22_14731C00067.1	3909.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_18	393_12	18.0	26.0	Ia_23_10528C00132.1	Ia	I	23_10528C00132.1	7959.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_19	393_12	19.0	26.0	Ia_24_14478C00038.1	Ia	I	24_14478C00038.1	3475.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_20	393_12	20.0	26.0	Ia_25_17329C00108.1	Ia	I	25_17329C00108.1	3621.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_21	393_12	21.0	26.0	Ia_26_17150C00102.1	Ia	I	26_17150C00102.1	3546.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_22	393_12	22.0	26.0	Ia_27_19479C00008.1	Ia	I	27_19479C00008.1	183599.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_23	393_12	23.0	26.0	Ia_28_14556C00140.1	Ia	I	28_14556C00140.1	5065.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_24	393_12	24.0	26.0	Ia_29_19480C00019.1	Ia	I	29_19480C00019.1	143948.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_25	393_12	25.0	26.0	Ia_30_6268C00058.1	Ia	I	30_6268C00058.1	116822.0	520.0	17.0	0.0	9.0	0.0	0
393_12_amp_26	393_12	26.0	26.0	Ia_31_6270C00038.1	Ia	I	31_6270C00038.1	8445.0	520.0	17.0	0.0	9.0	0.0	0
393_13_amp_1	393_13	1.0	29.0	III_12_6265C00057.1	III	III	12_6265C00057.1	6712.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_2	393_13	2.0	29.0	III_13_6010C00001.1	III	III	13_6010C00001.1	481689.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_3	393_13	3.0	29.0	III_15_10759C00315.1	III	III	15_10759C00315.1	24489.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_4	393_13	4.0	29.0	III_40_23543C00119.1	III	III	40_23543C00119.1	36761.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_5	393_13	5.0	29.0	IV_17_22599C00038.1	IV	IV	17_22599C00038.1	26767.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_6	393_13	6.0	29.0	IV_18_22602C00963.1	IV	IV	18_22602C00963.1	16539.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_7	393_13	7.0	29.0	IV_20_6269C00002.1	IV	IV	20_6269C00002.1	313382.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_8	393_13	8.0	29.0	I_1_22555C00039.1	I	I	1_22555C00039.1	34685.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_9	393_13	9.0	29.0	I_2_22603C00071.1	I	I	2_22603C00071.1	7426.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_10	393_13	10.0	29.0	I_35_18770C00044.1	I	I	35_18770C00044.1	7413.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_11	393_13	11.0	29.0	I_38_22827C00048.1	I	I	38_22827C00048.1	1494.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_12	393_13	12.0	29.0	I_4_22608C00044.1	I	I	4_22608C00044.1	49959.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_13	393_13	13.0	29.0	I_5_22828C00025.2	I	I	5_22828C00025.2	35159.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_14	393_13	14.0	29.0	I_6_22825C00448.1	I	I	6_22825C00448.1	1801.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_15	393_13	15.0	29.0	Ia_21_284.1	Ia	I	21_284.1	1916874.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_16	393_13	16.0	29.0	Ia_22_14731C00067.1	Ia	I	22_14731C00067.1	3914.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_17	393_13	17.0	29.0	Ia_23_10528C00132.1	Ia	I	23_10528C00132.1	8007.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_18	393_13	18.0	29.0	Ia_24_14478C00038.1	Ia	I	24_14478C00038.1	3523.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_19	393_13	19.0	29.0	Ia_25_17329C00108.1	Ia	I	25_17329C00108.1	3669.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_20	393_13	20.0	29.0	Ia_26_17150C00102.1	Ia	I	26_17150C00102.1	3594.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_21	393_13	21.0	29.0	Ia_27_19479C00008.1	Ia	I	27_19479C00008.1	183604.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_22	393_13	22.0	29.0	Ia_28_14556C00140.1	Ia	I	28_14556C00140.1	5070.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_23	393_13	23.0	29.0	Ia_29_19480C00019.1	Ia	I	29_19480C00019.1	143953.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_24	393_13	24.0	29.0	Ia_30_6268C00058.1	Ia	I	30_6268C00058.1	116827.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_25	393_13	25.0	29.0	Ia_31_6270C00038.1	Ia	I	31_6270C00038.1	8493.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_26	393_13	26.0	29.0	Ic_32_1122.1	Ic	I	32_1122.1	1259810.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_27	393_13	27.0	29.0	Ic_33_6266C00040.1	Ic	I	33_6266C00040.1	41208.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_28	393_13	28.0	29.0	Ic_34_23503C00018.1	Ic	I	34_23503C00018.1	7088.0	467.0	22.0	0.0	4.0	3.0	0
393_13_amp_29	393_13	29.0	29.0	I_3_22829C00417.2	I	I	3_22829C00417.2	1689.0	467.0	22.0	0.0	4.0	3.0	0
393_19_amp_1	393_19	1.0	26.0	III_11_6264C00030.1	III	III	11_6264C00030.1	7361.0	376.0	9.0	2.0	7.0	8.0	1
393_19_amp_2	393_19	2.0	26.0	III_13_6010C00001.1	III	III	13_6010C00001.1	482462.0	376.0	9.0	2.0	7.0	8.0	1
393_19_amp_3	393_19	3.0	26.0	III_14_1121.1	III	III	14_1121.1	6649428.0	376.0	9.0	2.0	7.0	8.0	1
