AmpId	gene	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV
pgk_amp_16	pgk	16.0	31.0	I_4_22608C00007.1	I	I	4_22608C00007.1	123502	710	19.0	0.0	9.0	3.0
pgk_amp_17	pgk	17.0	31.0	I_6_22825C00249.1	I	I	6_22825C00249.1	4741	710	19.0	0.0	9.0	3.0
pgk_amp_18	pgk	18.0	31.0	Ia_21_284.1	Ia	I	21_284.1	4976160	710	19.0	0.0	9.0	3.0
pgk_amp_19	pgk	19.0	31.0	Ia_22_14731C00063.1	Ia	I	22_14731C00063.1	5314	710	19.0	0.0	9.0	3.0
pgk_amp_20	pgk	20.0	31.0	Ia_23_10528C00017.1	Ia	I	23_10528C00017.1	53613	710	19.0	0.0	9.0	3.0
pgk_amp_21	pgk	21.0	31.0	Ia_24_14478C00080.1	Ia	I	24_14478C00080.1	2041	710	19.0	0.0	9.0	3.0
pgk_amp_22	pgk	22.0	31.0	Ia_25_17329C00083.1	Ia	I	25_17329C00083.1	6410	710	19.0	0.0	9.0	3.0
pgk_amp_23	pgk	23.0	31.0	Ia_26_17150C00105.1	Ia	I	26_17150C00105.1	13384	710	19.0	0.0	9.0	3.0
pgk_amp_24	pgk	24.0	31.0	Ia_27_19479C00016.1	Ia	I	27_19479C00016.1	61493	710	19.0	0.0	9.0	3.0
pgk_amp_25	pgk	25.0	31.0	Ia_28_14556C00071.1	Ia	I	28_14556C00071.1	6393	710	19.0	0.0	9.0	3.0
pgk_amp_26	pgk	26.0	31.0	Ia_29_19480C00023.1	Ia	I	29_19480C00023.1	94844	710	19.0	0.0	9.0	3.0
pgk_amp_27	pgk	27.0	31.0	Ia_30_6268C00007.1	Ia	I	30_6268C00007.1	7976	710	19.0	0.0	9.0	3.0
pgk_amp_28	pgk	28.0	31.0	Ia_31_6270C00012.1	Ia	I	31_6270C00012.1	94661	710	19.0	0.0	9.0	3.0
pgk_amp_29	pgk	29.0	31.0	Ic_32_1122.1	Ic	I	32_1122.1	1970582	710	19.0	0.0	9.0	3.0
pgk_amp_30	pgk	30.0	31.0	Ic_33_6266C00046.1	Ic	I	33_6266C00046.1	4510	710	19.0	0.0	9.0	3.0
pgk_amp_31	pgk	31.0	31.0	Ic_34_23503C00307.1	Ic	I	34_23503C00307.1	3240	710	19.0	0.0	9.0	3.0
dnaA_amp_1	dnaA	1.0	28.0	III_12_6265C00003.1	III	III	12_6265C00003.1	133608	683	12.0	2.0	8.0	6.0
dnaA_amp_2	dnaA	2.0	28.0	III_13_6010C00006.1	III	III	13_6010C00006.1	314992	683	12.0	2.0	8.0	6.0
dnaA_amp_3	dnaA	3.0	28.0	III_14_1121.1	III	III	14_1121.1	842	683	12.0	2.0	8.0	6.0
dnaA_amp_4	dnaA	4.0	28.0	III_15_10759C00389.1	III	III	15_10759C00389.1	92097	683	12.0	2.0	8.0	6.0
dnaA_amp_5	dnaA	5.0	28.0	III_36_22311C00056.1	III	III	36_22311C00056.1	7980	683	12.0	2.0	8.0	6.0
dnaA_amp_6	dnaA	6.0	28.0	III_37_9940C00485.1	III	III	37_9940C00485.1	7936	683	12.0	2.0	8.0	6.0
dnaA_amp_7	dnaA	7.0	28.0	III_40_23543C00109.1	III	III	40_23543C00109.1	14588	683	12.0	2.0	8.0	6.0
dnaA_amp_8	dnaA	8.0	28.0	III_41_22826C00121.1	III	III	41_22826C00121.1	11000	683	12.0	2.0	8.0	6.0
dnaA_amp_9	dnaA	9.0	28.0	II_10_6272C00030.1	II	II	10_6272C00030.1	117766	683	12.0	2.0	8.0	6.0
dnaA_amp_10	dnaA	10.0	28.0	II_9_2088.2	II	II	9_2088.2	1144	683	12.0	2.0	8.0	6.0
dnaA_amp_11	dnaA	11.0	28.0	IV_16_6263.1	IV	IV	16_6263.1	878	683	12.0	2.0	8.0	6.0
dnaA_amp_12	dnaA	12.0	28.0	IV_17_22599C00294.1	IV	IV	17_22599C00294.1	21101	683	12.0	2.0	8.0	6.0
dnaA_amp_13	dnaA	13.0	28.0	IV_18_22602C01100.1	IV	IV	18_22602C01100.1	10099	683	12.0	2.0	8.0	6.0
dnaA_amp_14	dnaA	14.0	28.0	IV_39_21414C00033.1	IV	IV	39_21414C00033.1	83270	683	12.0	2.0	8.0	6.0
dnaA_amp_15	dnaA	15.0	28.0	IV_7_22597C00363.1	IV	IV	7_22597C00363.1	29186	683	12.0	2.0	8.0	6.0
dnaA_amp_16	dnaA	16.0	28.0	IV_8_22598C00008.1	IV	IV	8_22598C00008.1	375	683	12.0	2.0	8.0	6.0
dnaA_amp_17	dnaA	17.0	28.0	I_6_22825C00256.1	I	I	6_22825C00256.1	3727	683	12.0	2.0	8.0	6.0
dnaA_amp_18	dnaA	18.0	28.0	Ia_21_284.1	Ia	I	21_284.1	1216	683	12.0	2.0	8.0	6.0
dnaA_amp_19	dnaA	19.0	28.0	Ia_22_14731C00358.1	Ia	I	22_14731C00358.1	3618	683	12.0	2.0	8.0	6.0
dnaA_amp_20	dnaA	20.0	28.0	Ia_23_10528C00007.1	Ia	I	23_10528C00007.1	44263	683	12.0	2.0	8.0	6.0
dnaA_amp_21	dnaA	21.0	28.0	Ia_27_19479C00001.1	Ia	I	27_19479C00001.1	194353	683	12.0	2.0	8.0	6.0
dnaA_amp_22	dnaA	22.0	28.0	Ia_28_14556C00116.1	Ia	I	28_14556C00116.1	581	683	12.0	2.0	8.0	6.0
dnaA_amp_23	dnaA	23.0	28.0	Ia_29_19480C00015.1	Ia	I	29_19480C00015.1	140159	683	12.0	2.0	8.0	6.0
dnaA_amp_24	dnaA	24.0	28.0	Ia_30_6268C00081.1	Ia	I	30_6268C00081.1	3364	683	12.0	2.0	8.0	6.0
dnaA_amp_25	dnaA	25.0	28.0	Ia_31_6270C00021.1	Ia	I	31_6270C00021.1	95359	683	12.0	2.0	8.0	6.0
dnaA_amp_26	dnaA	26.0	28.0	Ic_32_1122.1	Ic	I	32_1122.1	911	683	12.0	2.0	8.0	6.0
dnaA_amp_27	dnaA	27.0	28.0	Ic_33_6266C00003.1	Ic	I	33_6266C00003.1	23106	683	12.0	2.0	8.0	6.0
dnaA_amp_28	dnaA	28.0	28.0	Ic_34_23503C00412.1	Ic	I	34_23503C00412.1	16611	683	12.0	2.0	8.0	6.0
atpD_amp_1	atpD	1.0	41.0	III_11_6264C00005.1	III	III	11_6264C00005.1	407213	755	22.0	2.0	9.0	8.0
atpD_amp_2	atpD	2.0	41.0	III_12_6265C00052.1	III	III	12_6265C00052.1	31114	755	22.0	2.0	9.0	8.0
atpD_amp_3	atpD	3.0	41.0	III_13_6010C00001.1	III	III	13_6010C00001.1	1638643	755	22.0	2.0	9.0	8.0
atpD_amp_4	atpD	4.0	41.0	III_14_1121.1	III	III	14_1121.1	1205051	755	22.0	2.0	9.0	8.0
atpD_amp_5	atpD	5.0	41.0	III_15_10759C00219.1	III	III	15_10759C00219.1	14811	755	22.0	2.0	9.0	8.0
atpD_amp_6	atpD	6.0	41.0	III_36_22311C00024.1	III	III	36_22311C00024.1	83464	755	22.0	2.0	9.0	8.0
atpD_amp_7	atpD	7.0	41.0	III_37_9940C00343.1	III	III	37_9940C00343.1	27217	755	22.0	2.0	9.0	8.0
atpD_amp_8	atpD	8.0	41.0	III_40_23543C00152.1	III	III	40_23543C00152.1	341270	755	22.0	2.0	9.0	8.0
atpD_amp_9	atpD	9.0	41.0	III_41_22826C00124.1	III	III	41_22826C00124.1	9885	755	22.0	2.0	9.0	8.0
atpD_amp_10	atpD	10.0	41.0	II_10_6272C00029.1	II	II	10_6272C00029.1	261325	755	22.0	2.0	9.0	8.0
atpD_amp_11	atpD	11.0	41.0	II_9_2088.2	II	II	9_2088.2	4505977	755	22.0	2.0	9.0	8.0
atpD_amp_12	atpD	12.0	41.0	IV_16_6263.1	IV	IV	16_6263.1	1173782	755	22.0	2.0	9.0	8.0
atpD_amp_13	atpD	13.0	41.0	IV_17_22599C00347.1	IV	IV	17_22599C00347.1	22443	755	22.0	2.0	9.0	8.0
atpD_amp_14	atpD	14.0	41.0	IV_18_22602C00540.1	IV	IV	18_22602C00540.1	7007	755	22.0	2.0	9.0	8.0
atpD_amp_15	atpD	15.0	41.0	IV_19_6271C00001.1	IV	IV	19_6271C00001.1	2667787	755	22.0	2.0	9.0	8.0
atpD_amp_16	atpD	16.0	41.0	IV_20_6269C00006.1	IV	IV	20_6269C00006.1	376132	755	22.0	2.0	9.0	8.0
atpD_amp_17	atpD	17.0	41.0	IV_39_21414C00216.1	IV	IV	39_21414C00216.1	14301	755	22.0	2.0	9.0	8.0
atpD_amp_18	atpD	18.0	41.0	IV_7_22597C00110.1	IV	IV	7_22597C00110.1	40534	755	22.0	2.0	9.0	8.0
atpD_amp_19	atpD	19.0	41.0	IV_8_22598C00217.1	IV	IV	8_22598C00217.1	7786	755	22.0	2.0	9.0	8.0
atpD_amp_20	atpD	20.0	41.0	I_1_22555C00006.1	I	I	1_22555C00006.1	253578	755	22.0	2.0	9.0	8.0
atpD_amp_21	atpD	21.0	41.0	I_2_22603C00048.1	I	I	2_22603C00048.1	25512	755	22.0	2.0	9.0	8.0
atpD_amp_22	atpD	22.0	41.0	I_35_18770C00013.1	I	I	35_18770C00013.1	81470	755	22.0	2.0	9.0	8.0
atpD_amp_23	atpD	23.0	41.0	I_38_22827C00289.1	I	I	38_22827C00289.1	21282	755	22.0	2.0	9.0	8.0
atpD_amp_24	atpD	24.0	41.0	I_4_22608C00009.1	I	I	4_22608C00009.1	67945	755	22.0	2.0	9.0	8.0
atpD_amp_25	atpD	25.0	41.0	I_5_22828C00041.2	I	I	5_22828C00041.2	11241	755	22.0	2.0	9.0	8.0
atpD_amp_26	atpD	26.0	41.0	I_6_22825C00026.1	I	I	6_22825C00026.1	15982	755	22.0	2.0	9.0	8.0
atpD_amp_27	atpD	27.0	41.0	Ia_21_284.1	Ia	I	21_284.1	6431819	755	22.0	2.0	9.0	8.0
atpD_amp_28	atpD	28.0	41.0	Ia_22_14731C00011.1	Ia	I	22_14731C00011.1	13150	755	22.0	2.0	9.0	8.0
atpD_amp_29	atpD	29.0	41.0	Ia_23_10528C00026.1	Ia	I	23_10528C00026.1	45790	755	22.0	2.0	9.0	8.0
atpD_amp_30	atpD	30.0	41.0	Ia_24_14478C00016.1	Ia	I	24_14478C00016.1	11926	755	22.0	2.0	9.0	8.0
atpD_amp_31	atpD	31.0	41.0	Ia_25_17329C00192.1	Ia	I	25_17329C00192.1	10944	755	22.0	2.0	9.0	8.0
atpD_amp_32	atpD	32.0	41.0	Ia_26_17150C00178.1	Ia	I	26_17150C00178.1	12137	755	22.0	2.0	9.0	8.0
atpD_amp_33	atpD	33.0	41.0	Ia_27_19479C00034.1	Ia	I	27_19479C00034.1	79124	755	22.0	2.0	9.0	8.0
atpD_amp_34	atpD	34.0	41.0	Ia_28_14556C00046.1	Ia	I	28_14556C00046.1	13148	755	22.0	2.0	9.0	8.0
atpD_amp_35	atpD	35.0	41.0	Ia_29_19480C00033.1	Ia	I	29_19480C00033.1	68512	755	22.0	2.0	9.0	8.0
atpD_amp_36	atpD	36.0	41.0	Ia_30_6268C00097.1	Ia	I	30_6268C00097.1	41607	755	22.0	2.0	9.0	8.0
atpD_amp_37	atpD	37.0	41.0	Ia_31_6270C00018.1	Ia	I	31_6270C00018.1	116967	755	22.0	2.0	9.0	8.0
atpD_amp_38	atpD	38.0	41.0	Ic_32_1122.1	Ic	I	32_1122.1	4440129	755	22.0	2.0	9.0	8.0
atpD_amp_39	atpD	39.0	41.0	Ic_33_6266C00024.1	Ic	I	33_6266C00024.1	23365	755	22.0	2.0	9.0	8.0
atpD_amp_40	atpD	40.0	41.0	Ic_34_23503C00233.1	Ic	I	34_23503C00233.1	8619	755	22.0	2.0	9.0	8.0
atpD_amp_41	atpD	41.0	41.0	I_3_22829C00031.2	I	I	3_22829C00031.2	5141	755	22.0	2.0	9.0	8.0
rpoB_amp_1	rpoB	1.0	17.0	I_1_22555C00002.1	I	I	1_22555C00002.1	268697	438	17.0	0.0	0.0	0.0
rpoB_amp_2	rpoB	2.0	17.0	I_35_18770C00001.1	I	I	35_18770C00001.1	300991	438	17.0	0.0	0.0	0.0
rpoB_amp_3	rpoB	3.0	17.0	I_38_22827C00330.1	I	I	38_22827C00330.1	2500	438	17.0	0.0	0.0	0.0
rpoB_amp_4	rpoB	4.0	17.0	I_4_22608C00006.1	I	I	4_22608C00006.1	6072	438	17.0	0.0	0.0	0.0
rpoB_amp_5	rpoB	5.0	17.0	I_6_22825C00040.1	I	I	6_22825C00040.1	7797	438	17.0	0.0	0.0	0.0
rpoB_amp_6	rpoB	6.0	17.0	Ia_21_284.1	Ia	I	21_284.1	1146202	438	17.0	0.0	0.0	0.0
rpoB_amp_7	rpoB	7.0	17.0	Ia_24_14478C00013.1	Ia	I	24_14478C00013.1	16386	438	17.0	0.0	0.0	0.0
rpoB_amp_8	rpoB	8.0	17.0	Ia_25_17329C00197.1	Ia	I	25_17329C00197.1	7045	438	17.0	0.0	0.0	0.0
rpoB_amp_9	rpoB	9.0	17.0	Ia_26_17150C00182.1	Ia	I	26_17150C00182.1	24996	438	17.0	0.0	0.0	0.0
rpoB_amp_10	rpoB	10.0	17.0	Ia_27_19479C00004.1	Ia	I	27_19479C00004.1	109759	438	17.0	0.0	0.0	0.0
rpoB_amp_11	rpoB	11.0	17.0	Ia_29_19480C00003.1	Ia	I	29_19480C00003.1	330055	438	17.0	0.0	0.0	0.0
rpoB_amp_12	rpoB	12.0	17.0	Ia_30_6268C00065.1	Ia	I	30_6268C00065.1	61876	438	17.0	0.0	0.0	0.0
rpoB_amp_13	rpoB	13.0	17.0	Ia_31_6270C00008.1	Ia	I	31_6270C00008.1	9101	438	17.0	0.0	0.0	0.0
rpoB_amp_14	rpoB	14.0	17.0	Ic_32_1122.1	Ic	I	32_1122.1	664006	438	17.0	0.0	0.0	0.0
rpoB_amp_15	rpoB	15.0	17.0	Ic_33_6266C00001.1	Ic	I	33_6266C00001.1	102610	438	17.0	0.0	0.0	0.0
rpoB_amp_16	rpoB	16.0	17.0	Ic_34_23503C00200.1	Ic	I	34_23503C00200.1	31833	438	17.0	0.0	0.0	0.0
rpoB_amp_17	rpoB	17.0	17.0	I_3_22829C00008.2	I	I	3_22829C00008.2	2461	438	17.0	0.0	0.0	0.0
