		strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM000015	>FRAACOPRA_v1_10017|ID:78953475| Molybdopterin-binding protein [Frankia AcoPRA]	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1
33_frankia_FAM000016	>FRAACOPRA_v1_10018|ID:78953476| conserved membrane protein of unknown function [Frankia AcoPRA]	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0
33_frankia_FAM000017	>FRAACOPRA_v1_10019|ID:78953477| Diacylglycerol O-acyltransferase [Frankia AcoPRA]	4	2	1	2	2	2	2	3	3	2	1	1	1	1	1	1	1	1	1	0	0	0	0	2	3	2	3	3	2	2	5	1	4
33_frankia_FAM000018	>FRAACOPRA_v1_10022|ID:78953480| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1
33_frankia_FAM000019	>FRAACOPRA_v1_10024|ID:78953482| Pyrophosphorylase [Frankia AcoPRA]	3	2	2	3	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2
33_frankia_FAM000021	>FRAACOPRA_v1_10026|ID:78953484| conserved protein of unknown function [Frankia AcoPRA]	4	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000025	>FRAACOPRA_v1_10036|ID:78953494| HTH lysR-type domain-containing protein [Frankia AcoPRA]	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
33_frankia_FAM000026	>FRAACOPRA_v1_10037|ID:78953495|xyoA| putative xylitol oxidase [Frankia AcoPRA]	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	2	2	2	2
33_frankia_FAM000027	>FRAACOPRA_v1_10038|ID:78953496| DoxX family protein [Frankia AcoPRA]	2	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
33_frankia_FAM000028	>FRAACOPRA_v1_10039|ID:78953497| 4-hydroxybenzoate polyprenyltransferase-like prenyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1
33_frankia_FAM000029	>FRAACOPRA_v1_10041|ID:78953499| 3-demethylubiquinone-9 3-methyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
33_frankia_FAM000030	>FRAACOPRA_v1_10040|ID:78953498| Acyl-CoA dehydrogenase, short-chain specific [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
33_frankia_FAM000031	>FRAACOPRA_v1_10042|ID:78953500| Putative naringenin-chalcone synthase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	2	2	2	1
33_frankia_FAM000032	>FRAACOPRA_v1_10043|ID:78953501| Universal stress protein family [Frankia AcoPRA]	5	5	5	8	5	8	3	3	3	3	2	2	2	3	2	2	3	3	2	0	2	3	3	1	4	6	7	4	4	3	6	3	5
33_frankia_FAM000033	>FRAACOPRA_v1_10044|ID:78953502| protein of unknown function [Frankia AcoPRA]	23	17	17	18	18	20	10	28	12	10	12	11	8	8	8	8	8	8	7	10	10	8	9	34	34	33	24	39	31	39	57	17	37
33_frankia_FAM000034	>FRAACOPRA_v1_10045|ID:78953503|dosT| Oxygen sensor histidine kinase response regulator DosT [Frankia AcoPRA]	3	2	2	3	2	3	1	2	3	1	3	2	3	3	3	3	3	3	3	1	2	2	2	3	5	4	4	4	3	2	3	2	3
33_frankia_FAM000035	>FRAACOPRA_v1_10046|ID:78953504| conserved protein of unknown function [Frankia AcoPRA]	2	1	1	3	1	3	0	1	2	3	2	2	2	2	2	2	2	2	2	1	1	1	0	4	6	5	6	6	5	1	1	1	1
33_frankia_FAM000037	>FRAACOPRA_v1_10048|ID:78953506| CBS domain-containing protein [Frankia AcoPRA]	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0
33_frankia_FAM000038	>FRAACOPRA_v1_10049|ID:78953507| Nitroreductase [Frankia AcoPRA]	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	0	2	2	1	2	2	2	3	2	3	1	2	2	2
33_frankia_FAM000042	>FRAACOPRA_v1_10059|ID:78953517|recD2| ATP-dependent RecD-like DNA helicase [Frankia AcoPRA]	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	3	2
33_frankia_FAM000043	>FRAACOPRA_v1_10061|ID:78953519| MerR family transcriptional regulator [Frankia AcoPRA]	2	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	3	0	2
33_frankia_FAM000044	>FRAACOPRA_v1_10062|ID:78953520| Terpene cyclase [Frankia AcoPRA]	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000045	>FRAACOPRA_v1_10064|ID:78953522| Putative transmembrane efflux protein [Frankia AcoPRA]	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000046	>FRAACOPRA_v1_10066|ID:78953524| conserved protein of unknown function [Frankia AcoPRA]	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	1	0	0
33_frankia_FAM000048	>FRAACOPRA_v1_10071|ID:78953529| putative Granaticin polyketide beta-ketoacyl synthase 1 [Frankia AcoPRA]	6	4	10	4	4	4	3	8	4	2	3	3	9	9	9	5	9	9	8	4	9	8	4	4	6	4	3	6	3	6	3	3	4
33_frankia_FAM000050	>FRAACOPRA_v1_10079|ID:78953537| Cytochrome P450 [Frankia AcoPRA]	3	0	0	2	1	1	0	1	2	0	2	2	1	1	1	1	1	1	1	2	2	3	4	1	2	1	2	2	2	1	1	0	1
33_frankia_FAM000051	>FRAACOPRA_v1_10082|ID:78953540|rsgA| Small ribosomal subunit biogenesis GTPase RsgA [Frankia AcoPRA]	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1
33_frankia_FAM000052	>FRAACOPRA_v1_10085|ID:78953543| conserved exported protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	2	0	1	0
33_frankia_FAM000053	>FRAACOPRA_v1_10086|ID:78953544| Glyoxalase/bleomycin resistance protein/dioxygenase [Frankia AcoPRA]	3	2	1	1	2	1	3	4	2	3	1	1	1	1	1	1	1	1	1	0	0	1	0	2	3	2	4	4	4	4	8	2	6
33_frankia_FAM000054	>FRAACOPRA_v1_10087|ID:78953545| Major facilitator superfamily MFS_1 [Frankia AcoPRA]	24	22	25	22	24	23	5	29	9	8	8	6	11	10	11	8	10	10	15	17	15	13	4	24	29	21	13	30	20	38	37	12	31
33_frankia_FAM000055	>FRAACOPRA_v1_10089|ID:78953547| conserved membrane protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1
33_frankia_FAM000056	>FRAACOPRA_v1_10090|ID:78953548| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0
33_frankia_FAM000057	>FRAACOPRA_v1_10091|ID:78953549| ABC-type Fe3+-hydroxamate transport system, periplasmic component [Frankia AcoPRA]	4	3	0	4	3	3	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
33_frankia_FAM000058	>FRAACOPRA_v1_10093|ID:78953551| CYTH domain-containing protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1
33_frankia_FAM000059	>FRAACOPRA_v1_10094|ID:78953552| FHA modulated ABC efflux pump with fused ATPase and integral membrane subunits [Frankia AcoPRA]	3	2	2	2	4	2	2	3	2	1	2	2	2	2	2	1	2	2	2	1	2	1	4	5	5	6	3	4	5	2	7	2	8
33_frankia_FAM000061	>FRAACOPRA_v1_10096|ID:78953554| DNA binding domain protein, excisionase family [Frankia AcoPRA]	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM000062	>FRAACOPRA_v1_10098|ID:78953556| Helicase [Frankia AcoPRA]	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1
33_frankia_FAM000063	>FRAACOPRA_v1_10099|ID:78953557| Thiamin biosynthesis lipoprotein ApbE [Frankia AcoPRA]	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	2	1	1
33_frankia_FAM000064	>FRAACOPRA_v1_10100|ID:78953558| FMN-binding protein [Frankia AcoPRA]	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	2	1	2
33_frankia_FAM000065	>FRAACOPRA_v1_10101|ID:78953559| Oxidoreductase [Frankia AcoPRA]	2	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	1	1	1	2	3	2
33_frankia_FAM000066	>FRAACOPRA_v1_10102|ID:78953560|livF| branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF [Frankia AcoPRA]	49	70	63	75	72	76	32	70	38	43	31	30	32	32	32	29	32	33	33	35	47	45	39	77	87	69	63	104	74	103	124	61	96
33_frankia_FAM000067	>FRAACOPRA_v1_10103|ID:78953561| ABC transporter related protein [Frankia AcoPRA]	5	11	7	10	12	10	4	7	1	4	0	0	1	2	2	2	2	2	2	1	3	2	5	8	12	7	4	12	5	9	9	4	11
33_frankia_FAM000068	>FRAACOPRA_v1_10104|ID:78953562| Peripla_BP_6 domain-containing protein [Frankia AcoPRA]	2	3	2	3	3	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	1	0	2	0	1	1	1	1
33_frankia_FAM000069	>FRAACOPRA_v1_10107|ID:78953565| conserved protein of unknown function [Frankia AcoPRA]	3	11	11	9	11	9	1	1	2	1	0	0	2	2	2	2	2	2	2	1	0	0	2	8	11	7	4	9	5	13	11	3	6
33_frankia_FAM000070	>FRAACOPRA_v1_10109|ID:78953567| Regulatory protein TetR [Frankia AcoPRA]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	3	1	0	0
33_frankia_FAM000071	>FRAACOPRA_v1_10110|ID:78953568|cyp| Methyl-branched lipid omega-hydroxylase [Frankia AcoPRA]	20	21	19	22	22	23	3	30	8	2	5	5	7	8	7	6	7	8	11	6	17	18	7	40	46	35	29	52	34	58	60	17	65
33_frankia_FAM000072	>FRAACOPRA_v1_10111|ID:78953569| Diguanylate cyclase (GGDEF) domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
33_frankia_FAM000073	>FRAACOPRA_v1_10112|ID:78953570| Multidrug transporter [Frankia AcoPRA]	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0
33_frankia_FAM000074	>FRAACOPRA_v1_10113|ID:78953571| Peptidoglycan-binding protein LysM [Frankia AcoPRA]	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM000075	>FRAACOPRA_v1_10114|ID:78953572|rpsD| 30S ribosomal protein S4 [Frankia AcoPRA]	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM000076	>FRAACOPRA_v1_10115|ID:78953573| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1
33_frankia_FAM000077	>FRAACOPRA_v1_10118|ID:78953576| FtsK/SpoIIIE family protein [Frankia AcoPRA]	2	1	1	2	1	2	0	1	2	0	2	2	1	1	1	1	1	1	1	0	2	1	1	0	3	1	1	3	1	2	3	2	3
33_frankia_FAM000078	>FRAACOPRA_v1_10121|ID:78953579|glnD| [Protein-PII] uridylyltransferase / [Protein-PII]-UMP uridylyl-removing enzyme [Frankia AcoPRA]	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000079	>FRAACOPRA_v1_10122|ID:78953580|glnK| nitrogen regulator GlnK [Frankia AcoPRA]	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2
33_frankia_FAM000080	>FRAACOPRA_v1_10123|ID:78953581|amtB| ammonium transporter [Frankia AcoPRA]	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	3	2	3
33_frankia_FAM000081	>FRAACOPRA_v1_10126|ID:78953584| Cell wall-associated hydrolase, invasion-associated protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM000082	>FRAACOPRA_v1_10127|ID:78953585|ideR| Iron-dependent repressor IdeR [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000083	>FRAACOPRA_v1_10128|ID:78953586| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000086	>FRAACOPRA_v1_10132|ID:78953590| 18 kDa antigen 1 [Frankia AcoPRA]	2	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	3	0	2
33_frankia_FAM000087	>FRAACOPRA_v1_10133|ID:78953591| ATP-binding protein [Frankia AcoPRA]	2	3	2	3	6	4	2	1	2	2	2	2	10	17	10	6	17	17	9	3	3	5	4	6	3	3	4	7	3	6	8	6	12
33_frankia_FAM000088	>FRAACOPRA_v1_10136|ID:78953594| Arsenic resistance protein [Frankia AcoPRA]	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
33_frankia_FAM000089	>FRAACOPRA_v1_10137|ID:78953595| putative Mercuric transport protein [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM000091	>FRAACOPRA_v1_10140|ID:78953598| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
33_frankia_FAM000092	>FRAACOPRA_v1_10141|ID:78953599|arsC| thioredoxin-coupled arsenate reductase; skin element [Frankia AcoPRA]	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1
33_frankia_FAM000094	>FRAACOPRA_v1_10144|ID:78953602| Permease, glycerol uptake facilitator [Frankia AcoPRA]	1	0	1	1	0	1	0	0	2	0	2	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
33_frankia_FAM000095	>FRAACOPRA_v1_10145|ID:78953603|cadI| Cadmium-induced protein cadI (Partial match) [Frankia AcoPRA]	2	0	1	1	0	1	1	1	2	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2
33_frankia_FAM000096	>FRAACOPRA_v1_10146|ID:78953604| Putative transcriptional regulator [Frankia AcoPRA]	2	1	1	1	1	1	1	1	2	1	2	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	2
33_frankia_FAM000097	>FRAACOPRA_v1_10148|ID:78953606| conserved protein of unknown function [Frankia AcoPRA]	3	3	1	2	5	1	0	0	1	0	0	0	4	5	4	1	5	5	1	1	0	1	0	6	2	0	3	2	0	2	1	2	6
33_frankia_FAM000098	>FRAACOPRA_v1_10150|ID:78953608|aroQ| 3-dehydroquinate dehydratase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000099	>FRAACOPRA_v1_10151|ID:78953609|rifK| 3-amino-5-hydroxybenzoate synthase [Frankia AcoPRA]	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	3	4	7	4	2	5	4	1	1	2	3
33_frankia_FAM000100	>FRAACOPRA_v1_10153|ID:78953611|rifL| Putative UDP-kanosamine synthase oxidoreductase subunit [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	2	2	2	1	1	2	0	0	0	0
33_frankia_FAM000101	>FRAACOPRA_v1_10154|ID:78953612| 3-amino-5-hydroxybenoic acid synthesis related protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	2	3	2	1	1	2	0	0	0	0
33_frankia_FAM000102	>FRAACOPRA_v1_10156|ID:78953614|rifN| Kanosamine kinase [Frankia AcoPRA]	2	2	4	2	3	3	1	3	2	2	2	2	3	3	3	2	3	3	4	1	1	0	2	2	2	2	4	2	3	4	4	3	4
33_frankia_FAM000103	>FRAACOPRA_v1_10157|ID:78953615| Shikimate 5-dehydrogenase I alpha [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000104	>FRAACOPRA_v1_10158|ID:78953616|rifG| Putative aminodehydroquinate synthase [Frankia AcoPRA]	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM000105	>FRAACOPRA_v1_10159|ID:78953617| conserved protein of unknown function [Frankia AcoPRA]	2	2	2	2	2	2	1	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
33_frankia_FAM000106	>FRAACOPRA_v1_10161|ID:78953619| VOC domain-containing protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000107	>FRAACOPRA_v1_10162|ID:78953620| Peroxiredoxin [Frankia AcoPRA]	4	3	3	4	3	4	3	3	3	3	2	2	2	2	2	2	2	2	2	1	2	2	3	4	4	4	3	4	4	4	4	4	5
33_frankia_FAM000108	>FRAACOPRA_v1_10163|ID:78953621|prnC| Monodechloroaminopyrrolnitrin halogenase PrnC [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000109	>FRAACOPRA_v1_10165|ID:78953623| protein of unknown function [Frankia AcoPRA]	1	2	2	2	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM000110	>FRAACOPRA_v1_10166|ID:78953624| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000111	>FRAACOPRA_v1_10167|ID:78953625| membrane protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000112	>FRAACOPRA_v1_10168|ID:78953626| L-seryl-tRNA(Sec) selenium transferase [Frankia AcoPRA]	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	1	1	0	0	0	0
33_frankia_FAM000113	>FRAACOPRA_v1_10169|ID:78953627| GDT1 family protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000114	>FRAACOPRA_v1_10170|ID:78953628| Flagellar hook-associated protein flgK [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0
