AmpId	SequenceId	PositionInSequence	Length
28729_5_amp_14	Ia_26_17150C00051.1	38817	338
28729_8_amp_1	III_11_6264C00005.1	323916	456
28729_8_amp_2	III_12_6265C00001.1	52627	456
28729_8_amp_3	III_13_6010C00001.1	1735766	456
28729_8_amp_4	III_14_1121.1	1119260	456
28729_8_amp_5	III_15_10759C00203.1	10019	456
28729_8_amp_6	III_36_22311C00010.1	2826	456
28729_8_amp_7	III_37_9940C00464.1	38236	456
28729_8_amp_8	III_40_23543C00152.1	252135	456
28729_8_amp_9	III_41_22826C00507.1	3624	456
28729_8_amp_10	Ia_23_10528C00010.1	7381	456
28729_8_amp_11	Ic_32_1122.1	4522280	456
28729_8_amp_12	Ic_33_6266C00031.1	58209	456
28729_8_amp_13	Ic_34_23503C00393.1	54082	456
393_4_amp_1	III_11_6264C00030.1	7444	635
393_4_amp_2	III_12_6265C00057.1	6113	635
393_4_amp_3	III_14_1121.1	6649086	635
393_4_amp_4	III_36_22311C00016.1	93659	635
393_4_amp_5	III_37_9940C00393.1	9251	635
393_4_amp_6	III_40_23543C00119.1	37192	635
393_4_amp_7	III_41_22826C00530.1	3271	635
393_4_amp_8	Ia_23_10528C00132.1	7408	635
393_4_amp_9	Ia_30_6268C00058.1	117258	635
393_7_amp_1	III_11_6264C00030.1	7718	358
393_7_amp_2	III_14_1121.1	6649089	358
393_7_amp_3	III_36_22311C00016.1	93662	358
393_7_amp_4	III_37_9940C00393.1	9525	358
393_7_amp_5	III_41_22826C00530.1	3274	358
393_7_amp_6	II_10_6272C00031.1	2974	358
393_7_amp_7	II_9_2088.2	2552694	358
393_7_amp_8	IV_16_6263.1	6017720	358
393_7_amp_9	IV_17_22599C00038.1	26442	358
393_7_amp_10	IV_18_22602C00963.1	16214	358
393_7_amp_11	IV_19_6271C00002.1	571229	358
393_7_amp_12	IV_39_21414C00019.1	28100	358
393_7_amp_13	IV_7_22597C00314.1	28087	358
393_7_amp_14	IV_8_22598C00368.1	1494	358
393_7_amp_15	I_1_22555C00039.1	35119	358
393_7_amp_16	I_35_18770C00044.1	7088	358
393_7_amp_17	I_38_22827C00048.1	1169	358
393_7_amp_18	I_4_22608C00044.1	50393	358
393_7_amp_19	I_5_22828C00025.2	34834	358
393_7_amp_20	Ia_23_10528C00132.1	7682	358
393_7_amp_21	Ia_24_14478C00038.1	3198	358
393_7_amp_22	Ia_25_17329C00108.1	3344	358
393_7_amp_23	Ia_26_17150C00102.1	3269	358
393_8_amp_1	III_13_6010C00001.1	481668	699
393_8_amp_2	II_10_6272C00031.1	3088	699
393_8_amp_3	IV_19_6271C00002.1	570774	699
393_8_amp_4	Ia_30_6268C00058.1	116806	699
393_11_amp_1	III_11_6264C00030.1	7448	565
393_11_amp_2	III_12_6265C00057.1	6117	565
393_11_amp_3	III_14_1121.1	6649152	565
393_11_amp_4	III_36_22311C00016.1	93725	565
393_11_amp_5	III_37_9940C00393.1	9255	565
393_11_amp_6	III_40_23543C00119.1	37258	565
393_11_amp_7	III_41_22826C00530.1	3337	565
393_11_amp_8	Ia_21_284.1	1916279	565
393_11_amp_9	Ia_23_10528C00132.1	7412	565
393_11_amp_10	Ia_27_19479C00008.1	184101	565
393_11_amp_11	Ia_29_19480C00019.1	144450	565
393_11_amp_12	Ia_30_6268C00058.1	117324	565
393_11_amp_13	Ia_31_6270C00038.1	7898	565
393_12_amp_1	III_11_6264C00030.1	7995	520
393_12_amp_2	III_12_6265C00057.1	6664	520
393_12_amp_3	III_13_6010C00001.1	481684	520
393_12_amp_4	III_14_1121.1	6648650	520
393_12_amp_5	III_15_10759C00315.1	24484	520
393_12_amp_6	III_36_22311C00016.1	93223	520
393_12_amp_7	III_37_9940C00393.1	9802	520
393_12_amp_8	III_40_23543C00119.1	36756	520
393_12_amp_9	III_41_22826C00530.1	2835	520
393_12_amp_10	I_1_22555C00039.1	34680	520
393_12_amp_11	I_35_18770C00044.1	7365	520
393_12_amp_12	I_38_22827C00048.1	1446	520
393_12_amp_13	I_4_22608C00044.1	49954	520
393_12_amp_14	I_5_22828C00025.2	35111	520
393_12_amp_15	I_6_22825C00448.1	1753	520
393_12_amp_16	Ia_21_284.1	1916826	520
393_12_amp_17	Ia_22_14731C00067.1	3909	520
393_12_amp_18	Ia_23_10528C00132.1	7959	520
393_12_amp_19	Ia_24_14478C00038.1	3475	520
393_12_amp_20	Ia_25_17329C00108.1	3621	520
393_12_amp_21	Ia_26_17150C00102.1	3546	520
393_12_amp_22	Ia_27_19479C00008.1	183599	520
393_12_amp_23	Ia_28_14556C00140.1	5065	520
393_12_amp_24	Ia_29_19480C00019.1	143948	520
393_12_amp_25	Ia_30_6268C00058.1	116822	520
393_12_amp_26	Ia_31_6270C00038.1	8445	520
393_13_amp_1	III_12_6265C00057.1	6712	467
393_13_amp_2	III_13_6010C00001.1	481689	467
393_13_amp_3	III_15_10759C00315.1	24489	467
393_13_amp_4	III_40_23543C00119.1	36761	467
393_13_amp_5	IV_17_22599C00038.1	26767	467
393_13_amp_6	IV_18_22602C00963.1	16539	467
393_13_amp_7	IV_20_6269C00002.1	313382	467
393_13_amp_8	I_1_22555C00039.1	34685	467
393_13_amp_9	I_2_22603C00071.1	7426	467
393_13_amp_10	I_35_18770C00044.1	7413	467
393_13_amp_11	I_38_22827C00048.1	1494	467
393_13_amp_12	I_4_22608C00044.1	49959	467
393_13_amp_13	I_5_22828C00025.2	35159	467
393_13_amp_14	I_6_22825C00448.1	1801	467
393_13_amp_15	Ia_21_284.1	1916874	467
393_13_amp_16	Ia_22_14731C00067.1	3914	467
393_13_amp_17	Ia_23_10528C00132.1	8007	467
393_13_amp_18	Ia_24_14478C00038.1	3523	467
393_13_amp_19	Ia_25_17329C00108.1	3669	467
393_13_amp_20	Ia_26_17150C00102.1	3594	467
393_13_amp_21	Ia_27_19479C00008.1	183604	467
393_13_amp_22	Ia_28_14556C00140.1	5070	467
393_13_amp_23	Ia_29_19480C00019.1	143953	467
393_13_amp_24	Ia_30_6268C00058.1	116827	467
393_13_amp_25	Ia_31_6270C00038.1	8493	467
393_13_amp_26	Ic_32_1122.1	1259810	467
393_13_amp_27	Ic_33_6266C00040.1	41208	467
393_13_amp_28	Ic_34_23503C00018.1	7088	467
393_13_amp_29	I_3_22829C00417.2	1689	467
393_19_amp_1	III_11_6264C00030.1	7361	376
393_19_amp_2	III_13_6010C00001.1	482462	376
393_19_amp_3	III_14_1121.1	6649428	376
393_19_amp_4	III_15_10759C00315.1	25262	376
393_19_amp_5	III_36_22311C00016.1	94001	376
393_19_amp_6	III_37_9940C00393.1	9168	376
393_19_amp_7	III_41_22826C00530.1	3613	376
393_19_amp_8	II_10_6272C00031.1	2617	376
393_19_amp_9	II_9_2088.2	2552337	376
393_19_amp_10	IV_16_6263.1	6018059	376
393_19_amp_11	IV_17_22599C00038.1	26085	376
393_19_amp_12	IV_18_22602C00963.1	15857	376
393_19_amp_13	IV_19_6271C00002.1	571568	376
393_19_amp_14	IV_20_6269C00002.1	314155	376
393_19_amp_15	IV_39_21414C00019.1	27743	376
393_19_amp_16	IV_7_22597C00314.1	27730	376
393_19_amp_17	IV_8_22598C00368.1	1833	376
393_19_amp_18	I_1_22555C00039.1	35458	376
393_19_amp_19	I_35_18770C00044.1	6731	376
393_19_amp_20	I_38_22827C00048.1	812	376
393_19_amp_21	I_4_22608C00044.1	50732	376
393_19_amp_22	I_5_22828C00025.2	34477	376
393_19_amp_23	Ia_23_10528C00132.1	7325	376
393_19_amp_24	Ia_24_14478C00038.1	2841	376
393_19_amp_25	Ia_25_17329C00108.1	2987	376
393_19_amp_26	Ia_26_17150C00102.1	2912	376
34764_1_amp_1	Ia_22_14731C00338.1	2942	575
34764_1_amp_2	Ia_27_19479C00006.1	90077	575
34764_1_amp_3	Ia_28_14556C00005.1	29828	575
34764_1_amp_4	Ia_30_6268C00062.1	282178	575
34764_1_amp_5	Ia_31_6270C00011.1	119185	575
2802_2_amp_1	III_12_6265C00002.1	91138	653
2802_2_amp_2	III_40_23543C00114.1	18728	653
2802_2_amp_3	IV_16_6263.1	2402263	653
2802_2_amp_4	IV_17_22599C00266.1	1234	653
2802_2_amp_5	IV_18_22602C01045.1	1158	653
2802_2_amp_6	IV_20_6269C00011.1	458423	653
2802_2_amp_7	IV_39_21414C00273.1	6334	653
2802_2_amp_8	IV_7_22597C00071.1	6322	653
2802_2_amp_9	IV_8_22598C00094.1	1145	653
2802_2_amp_10	I_5_22828C00011.2	96247	653
2802_2_amp_11	I_6_22825C00885.1	443	653
2802_2_amp_12	Ia_21_284.1	2089755	653
2802_2_amp_13	Ia_23_10528C00074.1	16223	653
2802_2_amp_14	Ia_27_19479C00008.1	19542	653
2802_2_amp_15	Ia_29_19480C00017.1	18684	653
2802_2_amp_16	Ia_31_6270C00001.1	130781	653
2802_3_amp_1	III_12_6265C00002.1	91141	412
2802_3_amp_2	III_40_23543C00114.1	18966	412
2802_3_amp_3	I_38_22827C00033.1	33996	412
2802_3_amp_4	I_5_22828C00011.2	96485	412
2802_3_amp_5	I_6_22825C00885.1	681	412
2802_3_amp_6	Ia_23_10528C00074.1	16461	412
2802_3_amp_7	Ia_27_19479C00008.1	19780	412
2802_3_amp_8	Ia_31_6270C00001.1	130784	412
2802_3_amp_9	Ic_32_1122.1	1457169	412
2802_3_amp_10	Ic_33_6266C00012.1	17709	412
2802_3_amp_11	Ic_34_23503C00121.1	3657	412
2802_3_amp_12	I_3_22829C01265.2	730	412
2802_5_amp_1	III_12_6265C00002.1	91139	413
2802_5_amp_2	III_40_23543C00114.1	18967	413
2802_5_amp_3	I_38_22827C00033.1	33994	413
2802_5_amp_4	I_5_22828C00011.2	96486	413
2802_5_amp_5	I_6_22825C00885.1	682	413
2802_5_amp_6	Ia_23_10528C00074.1	16462	413
2802_5_amp_7	Ia_27_19479C00008.1	19781	413
2802_5_amp_8	Ia_31_6270C00001.1	130782	413
2802_5_amp_9	Ic_32_1122.1	1457167	413
2802_5_amp_10	Ic_33_6266C00012.1	17707	413
2802_5_amp_11	Ic_34_23503C00121.1	3655	413
2802_5_amp_12	I_3_22829C01265.2	731	413
2802_6_amp_1	III_12_6265C00002.1	91135	660
2802_6_amp_2	III_40_23543C00114.1	18724	660
2802_6_amp_3	IV_16_6263.1	2402260	660
2802_6_amp_4	IV_17_22599C00266.1	1230	660
2802_6_amp_5	IV_18_22602C01045.1	1154	660
2802_6_amp_6	IV_20_6269C00011.1	458420	660
2802_6_amp_7	IV_39_21414C00273.1	6331	660
2802_6_amp_8	IV_7_22597C00071.1	6319	660
2802_6_amp_9	IV_8_22598C00094.1	1141	660
2802_6_amp_10	I_5_22828C00011.2	96243	660
2802_6_amp_11	I_6_22825C00885.1	439	660
2802_6_amp_12	Ia_21_284.1	2089752	660
2802_6_amp_13	Ia_23_10528C00074.1	16219	660
2802_6_amp_14	Ia_27_19479C00008.1	19538	660
2802_6_amp_15	Ia_31_6270C00001.1	130778	660
2802_8_amp_1	III_12_6265C00002.1	91140	689
2802_8_amp_2	III_40_23543C00114.1	18690	689
2802_8_amp_3	I_1_22555C00009.1	93317	689
2802_8_amp_4	I_35_18770C00020.1	95794	689
2802_8_amp_5	I_38_22827C00033.1	33995	689
2802_8_amp_6	I_4_22608C00003.1	109668	689
2802_8_amp_7	I_5_22828C00011.2	96209	689
2802_8_amp_8	I_6_22825C00885.1	405	689
2802_8_amp_9	Ia_21_284.1	2089757	689
2802_8_amp_10	Ia_23_10528C00074.1	16185	689
2802_8_amp_11	Ia_24_14478C00033.1	17793	689
2802_8_amp_12	Ia_25_17329C00076.1	29118	689
2802_8_amp_13	Ia_26_17150C00075.1	29062	689
2802_8_amp_14	Ia_27_19479C00008.1	19504	689
2802_8_amp_15	Ia_29_19480C00017.1	18686	689
2802_8_amp_16	Ia_31_6270C00001.1	130783	689
2802_8_amp_17	Ic_32_1122.1	1457168	689
2802_8_amp_18	Ic_33_6266C00012.1	17708	689
2802_8_amp_19	Ic_34_23503C00121.1	3656	689
2802_11_amp_1	III_12_6265C00002.1	91179	611
2802_11_amp_2	III_40_23543C00114.1	18729	611
2802_11_amp_3	IV_17_22599C00266.1	1235	611
2802_11_amp_4	IV_18_22602C01045.1	1159	611
2802_11_amp_5	IV_19_6271C00001.1	6834027	611
2802_11_amp_6	IV_20_6269C00011.1	458464	611
2802_11_amp_7	IV_39_21414C00273.1	6375	611
2802_11_amp_8	IV_7_22597C00071.1	6363	611
2802_11_amp_9	IV_8_22598C00094.1	1146	611
2802_11_amp_10	I_6_22825C00885.1	444	611
2802_11_amp_11	Ia_21_284.1	2089796	611
2802_11_amp_12	Ia_22_14731C00022.1	6542	611
2802_11_amp_13	Ia_23_10528C00074.1	16224	611
2802_11_amp_14	Ia_27_19479C00008.1	19543	611
2802_11_amp_15	Ia_28_14556C00047.1	6631	611
2802_11_amp_16	Ia_29_19480C00017.1	18725	611
2802_11_amp_17	Ia_31_6270C00001.1	130822	611
2802_19_amp_1	III_12_6265C00002.1	91180	664
2802_19_amp_2	III_40_23543C00114.1	18675	664
2802_19_amp_3	IV_17_22599C00266.1	1181	664
2802_19_amp_4	IV_18_22602C01045.1	1105	664
2802_19_amp_5	IV_19_6271C00001.1	6833973	664
2802_19_amp_6	IV_20_6269C00011.1	458465	664
2802_19_amp_7	IV_39_21414C00273.1	6376	664
2802_19_amp_8	IV_7_22597C00071.1	6364	664
2802_19_amp_9	IV_8_22598C00094.1	1092	664
2802_19_amp_10	I_6_22825C00885.1	390	664
2802_19_amp_11	Ia_21_284.1	2089797	664
2802_19_amp_12	Ia_22_14731C00022.1	6543	664
2802_19_amp_13	Ia_23_10528C00074.1	16170	664
2802_19_amp_14	Ia_27_19479C00008.1	19489	664
2802_19_amp_15	Ia_28_14556C00047.1	6632	664
2802_19_amp_16	Ia_29_19480C00017.1	18726	664
2802_19_amp_17	Ia_31_6270C00001.1	130823	664
357121_3_amp_1	III_12_6265C00013.1	85834	460
357121_3_amp_2	I_6_22825C00266.1	3300	460
357121_3_amp_3	Ia_21_284.1	1337255	460
357121_3_amp_4	Ia_22_14731C00247.1	2192	460
357121_3_amp_5	Ia_27_19479C00006.1	83890	460
357121_3_amp_6	Ia_28_14556C00005.1	35489	460
357121_3_amp_7	Ia_29_19480C00008.1	104782	460
357121_3_amp_8	Ia_30_6268C00062.1	288446	460
357121_3_amp_9	Ia_31_6270C00011.1	125496	460
357121_9_amp_1	I_2_22603C00008.1	47472	474
357121_9_amp_2	I_6_22825C00266.1	3288	474
357121_9_amp_3	Ia_21_284.1	1337253	474
357121_9_amp_4	Ia_22_14731C00247.1	2180	474
357121_9_amp_5	Ia_23_10528C00072.1	25405	474
357121_9_amp_6	Ia_27_19479C00006.1	83888	474
357121_9_amp_7	Ia_28_14556C00005.1	35477	474
357121_9_amp_8	Ia_29_19480C00008.1	104770	474
357121_9_amp_9	Ia_30_6268C00062.1	288434	474
357121_9_amp_10	Ia_31_6270C00011.1	125484	474
357121_9_amp_11	I_3_22829C00445.2	5054	474
357121_11_amp_1	III_11_6264C00020.1	83755	471
357121_11_amp_2	III_14_1121.1	7140502	471
357121_11_amp_3	III_36_22311C00001.1	330919	471
357121_11_amp_4	III_37_9940C00607.1	2790	471
357121_11_amp_5	IV_16_6263.1	7484936	471
357121_11_amp_6	IV_19_6271C00001.1	189852	471
357121_11_amp_7	IV_20_6269C00009.1	660964	471
357121_11_amp_8	IV_39_21414C00198.1	6423	471
357121_11_amp_9	IV_7_22597C00011.1	92899	471
357121_11_amp_10	IV_8_22598C00233.1	6414	471
357121_11_amp_11	I_1_22555C00024.1	70662	471
357121_11_amp_12	I_35_18770C00015.1	70624	471
357121_11_amp_13	I_4_22608C00027.1	10886	471
357121_11_amp_14	I_5_22828C00001.2	40391	471
357121_11_amp_15	Ia_24_14478C00086.1	4133	471
357121_11_amp_16	Ia_25_17329C00056.1	37667	471
357121_11_amp_17	Ia_26_17150C00053.1	37455	471
357121_11_amp_18	Ia_30_6268C00062.1	288444	471
357121_12_amp_1	I_1_22555C00024.1	70805	341
357121_12_amp_2	I_2_22603C00008.1	47469	341
357121_12_amp_3	I_35_18770C00015.1	70767	341
357121_12_amp_4	I_4_22608C00027.1	10873	341
357121_12_amp_5	I_5_22828C00001.2	40378	341
357121_12_amp_6	Ia_24_14478C00086.1	4276	341
357121_12_amp_7	Ia_25_17329C00056.1	37810	341
357121_12_amp_8	Ia_26_17150C00053.1	37598	341
357121_12_amp_9	Ia_27_19479C00006.1	84024	341
357121_12_amp_10	Ia_31_6270C00011.1	125481	341
357121_14_amp_1	III_11_6264C00020.1	83667	560
357121_14_amp_2	III_12_6265C00013.1	85831	560
357121_14_amp_3	III_14_1121.1	7140501	560
357121_14_amp_4	III_36_22311C00001.1	330831	560
357121_14_amp_5	III_37_9940C00607.1	2789	560
357121_14_amp_6	III_41_22826C00358.1	4180	560
357121_14_amp_7	IV_16_6263.1	7484935	560
357121_14_amp_8	IV_20_6269C00009.1	660876	560
357121_14_amp_9	IV_39_21414C00198.1	6422	560
357121_14_amp_10	IV_7_22597C00011.1	92811	560
357121_14_amp_11	IV_8_22598C00233.1	6413	560
357121_14_amp_12	I_1_22555C00024.1	70574	560
357121_14_amp_13	I_35_18770C00015.1	70536	560
357121_14_amp_14	I_4_22608C00027.1	10885	560
357121_14_amp_15	I_5_22828C00001.2	40390	560
357121_14_amp_16	I_6_22825C00266.1	3297	560
357121_14_amp_17	Ia_21_284.1	1337158	560
357121_14_amp_18	Ia_22_14731C00247.1	2189	560
357121_14_amp_19	Ia_24_14478C00086.1	4045	560
357121_14_amp_20	Ia_25_17329C00056.1	37579	560
357121_14_amp_21	Ia_26_17150C00053.1	37367	560
357121_14_amp_22	Ia_27_19479C00006.1	83793	560
357121_14_amp_23	Ia_28_14556C00005.1	35486	560
357121_14_amp_24	Ia_29_19480C00008.1	104779	560
357121_14_amp_25	Ia_30_6268C00062.1	288443	560
357121_14_amp_26	Ia_31_6270C00011.1	125493	560
357121_15_amp_1	III_11_6264C00020.1	83901	450
357121_15_amp_2	III_12_6265C00013.1	85707	450
357121_15_amp_3	III_13_6010C00010.1	307110	450
357121_15_amp_4	III_14_1121.1	7140377	450
357121_15_amp_5	III_36_22311C00001.1	331065	450
357121_15_amp_6	III_41_22826C00358.1	4414	450
357121_15_amp_7	I_1_22555C00024.1	70808	450
357121_15_amp_8	I_35_18770C00015.1	70770	450
357121_15_amp_9	I_38_22827C00307.1	21407	450
357121_15_amp_10	I_4_22608C00027.1	10761	450
357121_15_amp_11	I_5_22828C00001.2	40266	450
357121_15_amp_12	I_6_22825C00266.1	3173	450
357121_15_amp_13	Ia_21_284.1	1337392	450
357121_15_amp_14	Ia_22_14731C00247.1	2065	450
357121_15_amp_15	Ia_24_14478C00086.1	4279	450
357121_15_amp_16	Ia_25_17329C00056.1	37813	450
357121_15_amp_17	Ia_26_17150C00053.1	37601	450
357121_15_amp_18	Ia_27_19479C00006.1	84027	450
357121_15_amp_19	Ia_28_14556C00005.1	35362	450
357121_15_amp_20	Ia_29_19480C00008.1	104655	450
357121_15_amp_21	Ia_30_6268C00062.1	288319	450
357121_15_amp_22	Ia_31_6270C00011.1	125369	450
357121_16_amp_1	III_11_6264C00020.1	83902	451
357121_16_amp_2	III_12_6265C00013.1	85705	451
357121_16_amp_3	III_13_6010C00010.1	307111	451
357121_16_amp_4	III_14_1121.1	7140375	451
357121_16_amp_5	III_36_22311C00001.1	331066	451
357121_16_amp_6	III_41_22826C00358.1	4415	451
357121_16_amp_7	IV_16_6263.1	7484809	451
357121_16_amp_8	IV_39_21414C00198.1	6296	451
357121_16_amp_9	IV_7_22597C00011.1	93046	451
357121_16_amp_10	IV_8_22598C00233.1	6287	451
357121_16_amp_11	I_1_22555C00024.1	70809	451
357121_16_amp_12	I_35_18770C00015.1	70771	451
357121_16_amp_13	I_38_22827C00307.1	21405	451
357121_16_amp_14	I_4_22608C00027.1	10759	451
357121_16_amp_15	I_5_22828C00001.2	40264	451
357121_16_amp_16	I_6_22825C00266.1	3171	451
357121_16_amp_17	Ia_21_284.1	1337393	451
357121_16_amp_18	Ia_22_14731C00247.1	2063	451
357121_16_amp_19	Ia_24_14478C00086.1	4280	451
357121_16_amp_20	Ia_25_17329C00056.1	37814	451
357121_16_amp_21	Ia_26_17150C00053.1	37602	451
357121_16_amp_22	Ia_27_19479C00006.1	84028	451
357121_16_amp_23	Ia_28_14556C00005.1	35360	451
357121_16_amp_24	Ia_29_19480C00008.1	104653	451
357121_16_amp_25	Ia_30_6268C00062.1	288317	451
357121_16_amp_26	Ia_31_6270C00011.1	125367	451
357121_17_amp_1	I_6_22825C00266.1	3237	613
357121_18_amp_1	IV_16_6263.1	7484806	440
357121_18_amp_2	IV_17_22599C00349.1	47502	440
357121_18_amp_3	IV_18_22602C00302.1	5897	440
357121_18_amp_4	I_38_22827C00307.1	21402	440
357121_18_amp_5	I_6_22825C00266.1	3168	440
357121_18_amp_6	Ia_22_14731C00247.1	2060	440
357121_18_amp_7	Ia_23_10528C00072.1	25285	440
357121_18_amp_8	Ia_27_19479C00006.1	84042	440
357121_18_amp_9	Ia_28_14556C00005.1	35357	440
357121_18_amp_10	Ia_30_6268C00062.1	288314	440
357121_18_amp_11	Ia_31_6270C00011.1	125364	440
357121_19_amp_1	III_11_6264C00020.1	83759	466
357121_19_amp_2	III_12_6265C00013.1	85833	466
357121_19_amp_3	III_14_1121.1	7140503	466
357121_19_amp_4	III_36_22311C00001.1	330923	466
357121_19_amp_5	III_37_9940C00607.1	2791	466
357121_19_amp_6	IV_19_6271C00001.1	189853	466
357121_19_amp_7	I_6_22825C00266.1	3299	466
357121_19_amp_8	Ia_21_284.1	1337250	466
357121_19_amp_9	Ia_22_14731C00247.1	2191	466
357121_19_amp_10	Ia_27_19479C00006.1	83885	466
357121_19_amp_11	Ia_28_14556C00005.1	35488	466
357121_19_amp_12	Ia_29_19480C00008.1	104781	466
357121_19_amp_13	Ia_30_6268C00062.1	288445	466
357121_19_amp_14	Ia_31_6270C00011.1	125495	466
3584_1_amp_1	I_1_22555C00021.1	63398	317
3584_1_amp_2	I_2_22603C00011.1	16259	317
3584_1_amp_3	I_35_18770C00018.1	63582	317
3584_1_amp_4	I_4_22608C00031.1	9192	317
3584_1_amp_5	Ia_21_284.1	5560879	317
3584_1_amp_6	Ia_24_14478C00006.1	28566	317
3584_1_amp_7	Ia_25_17329C00155.1	20125	317
3584_1_amp_8	Ia_26_17150C00143.1	25285	317
3584_1_amp_9	Ia_29_19480C00001.1	64396	317
3584_1_amp_10	Ic_32_1122.1	3693952	317
3584_1_amp_11	Ic_33_6266C00068.1	13671	317
3584_1_amp_12	Ic_34_23503C00125.1	8547	317
3584_9_amp_1	IV_16_6263.1	2194137	317
3584_9_amp_2	IV_20_6269C00002.1	622632	317
3584_9_amp_3	IV_39_21414C00258.1	8397	317
3584_9_amp_4	IV_7_22597C00092.1	9504	317
3584_9_amp_5	IV_8_22598C00112.1	7661	317
3584_9_amp_6	I_1_22555C00021.1	63396	317
3584_9_amp_7	I_2_22603C00011.1	16257	317
3584_9_amp_8	I_35_18770C00018.1	63584	317
3584_9_amp_9	I_4_22608C00031.1	9194	317
3584_9_amp_10	Ia_21_284.1	5560881	317
3584_9_amp_11	Ia_24_14478C00006.1	28564	317
3584_9_amp_12	Ia_25_17329C00155.1	20127	317
3584_9_amp_13	Ia_26_17150C00143.1	25287	317
3584_9_amp_14	Ia_29_19480C00001.1	64394	317
3584_9_amp_15	Ic_32_1122.1	3693954	317
3584_9_amp_16	Ic_33_6266C00068.1	13669	317
3584_9_amp_17	Ic_34_23503C00125.1	8545	317
3584_11_amp_1	I_5_22828C00030.2	56544	668
3584_11_amp_2	Ic_32_1122.1	3694065	668
3584_11_amp_3	Ic_33_6266C00068.1	13207	668
3584_11_amp_4	Ic_34_23503C00125.1	8083	668
3584_15_amp_1	I_1_22555C00021.1	62873	552
3584_15_amp_2	I_35_18770C00018.1	63872	552
3584_15_amp_3	I_38_22827C00309.1	23022	552
3584_15_amp_4	I_4_22608C00031.1	9482	552
3584_15_amp_5	I_5_22828C00030.2	56721	552
3584_15_amp_6	Ia_23_10528C00064.1	6911	552
3584_15_amp_7	Ia_30_6268C00114.1	21829	552
3584_15_amp_8	Ic_32_1122.1	3694242	552
