AmpId	SequenceId	PositionInSequence	Length
28729_3_amp_7	III_37_9940C00464.1	38359	330
28729_3_amp_8	III_41_22826C00507.1	3627	330
28729_3_amp_9	II_10_6272C00023.1	72652	330
28729_3_amp_10	II_9_2088.2	1121440	330
28729_3_amp_11	IV_16_6263.1	989990	330
28729_3_amp_12	IV_17_22599C00351.1	29600	330
28729_3_amp_13	IV_18_22602C00720.1	1773	330
28729_3_amp_14	IV_19_6271C00001.1	2539850	330
28729_3_amp_15	IV_20_6269C00006.1	522708	330
28729_3_amp_16	IV_39_21414C00007.1	20684	330
28729_3_amp_17	IV_7_22597C00040.1	6293	330
28729_3_amp_18	IV_8_22598C00555.1	11704	330
28729_3_amp_19	I_1_22555C00006.1	142040	330
28729_3_amp_20	I_35_18770C00031.1	41609	330
28729_3_amp_21	I_38_22827C00083.1	7014	330
28729_3_amp_22	I_4_22608C00016.1	72206	330
28729_3_amp_23	I_5_22828C00006.2	205665	330
28729_3_amp_24	Ia_21_284.1	6522168	330
28729_3_amp_25	Ia_23_10528C00010.1	7384	330
28729_3_amp_26	Ia_24_14478C00002.1	38523	330
28729_3_amp_27	Ia_25_17329C00054.1	1883	330
28729_3_amp_28	Ia_26_17150C00051.1	38821	330
28729_3_amp_29	Ia_29_19480C00009.1	81927	330
28729_3_amp_30	Ia_30_6268C00096.1	36842	330
28729_3_amp_31	Ic_32_1122.1	4522403	330
28729_3_amp_32	Ic_33_6266C00031.1	58212	330
28729_3_amp_33	Ic_34_23503C00393.1	54085	330
28729_3_amp_34	I_3_22829C00042.2	15569	330
28729_4_amp_1	III_11_6264C00005.1	323914	340
28729_4_amp_2	III_12_6265C00001.1	52745	340
28729_4_amp_3	III_13_6010C00001.1	1735884	340
28729_4_amp_4	III_14_1121.1	1119258	340
28729_4_amp_5	III_15_10759C00203.1	10017	340
28729_4_amp_6	III_36_22311C00010.1	2944	340
28729_4_amp_7	III_37_9940C00464.1	38354	340
28729_4_amp_8	III_40_23543C00152.1	252133	340
28729_4_amp_9	III_41_22826C00507.1	3622	340
28729_4_amp_10	II_10_6272C00023.1	72647	340
28729_4_amp_11	II_9_2088.2	1121435	340
28729_4_amp_12	IV_16_6263.1	989985	340
28729_4_amp_13	IV_17_22599C00351.1	29595	340
28729_4_amp_14	IV_18_22602C00720.1	1768	340
28729_4_amp_15	IV_20_6269C00006.1	522703	340
28729_4_amp_16	IV_39_21414C00007.1	20679	340
28729_4_amp_17	IV_7_22597C00040.1	6288	340
28729_4_amp_18	IV_8_22598C00555.1	11699	340
28729_4_amp_19	I_1_22555C00006.1	142035	340
28729_4_amp_20	I_2_22603C00018.1	10874	340
28729_4_amp_21	I_35_18770C00031.1	41604	340
28729_4_amp_22	I_38_22827C00083.1	7009	340
28729_4_amp_23	I_4_22608C00016.1	72201	340
28729_4_amp_24	I_5_22828C00006.2	205660	340
28729_4_amp_25	Ia_21_284.1	6522163	340
28729_4_amp_26	Ia_23_10528C00010.1	7379	340
28729_4_amp_27	Ia_24_14478C00002.1	38518	340
28729_4_amp_28	Ia_25_17329C00054.1	1878	340
28729_4_amp_29	Ia_26_17150C00051.1	38816	340
28729_4_amp_30	Ia_29_19480C00009.1	81922	340
28729_4_amp_31	Ia_30_6268C00096.1	36837	340
28729_4_amp_32	Ic_32_1122.1	4522398	340
28729_4_amp_33	Ic_33_6266C00031.1	58207	340
28729_4_amp_34	Ic_34_23503C00393.1	54080	340
28729_4_amp_35	I_3_22829C00042.2	15564	340
28729_5_amp_1	III_11_6264C00005.1	323915	338
28729_5_amp_2	III_12_6265C00001.1	52746	338
28729_5_amp_3	III_13_6010C00001.1	1735885	338
28729_5_amp_4	III_14_1121.1	1119259	338
28729_5_amp_5	III_15_10759C00203.1	10018	338
28729_5_amp_6	III_36_22311C00010.1	2945	338
28729_5_amp_7	III_37_9940C00464.1	38355	338
28729_5_amp_8	III_40_23543C00152.1	252134	338
28729_5_amp_9	III_41_22826C00507.1	3623	338
28729_5_amp_10	II_10_6272C00023.1	72648	338
28729_5_amp_11	II_9_2088.2	1121436	338
28729_5_amp_12	IV_16_6263.1	989986	338
28729_5_amp_13	IV_17_22599C00351.1	29596	338
28729_5_amp_14	IV_18_22602C00720.1	1769	338
28729_5_amp_15	IV_20_6269C00006.1	522704	338
28729_5_amp_16	IV_39_21414C00007.1	20680	338
28729_5_amp_17	IV_7_22597C00040.1	6289	338
28729_5_amp_18	IV_8_22598C00555.1	11700	338
28729_5_amp_19	I_1_22555C00006.1	142036	338
28729_5_amp_20	I_2_22603C00018.1	10875	338
28729_5_amp_21	I_35_18770C00031.1	41605	338
28729_5_amp_22	I_38_22827C00083.1	7010	338
28729_5_amp_23	I_4_22608C00016.1	72202	338
28729_5_amp_24	I_5_22828C00006.2	205661	338
28729_5_amp_25	Ia_21_284.1	6522164	338
28729_5_amp_26	Ia_23_10528C00010.1	7380	338
28729_5_amp_27	Ia_24_14478C00002.1	38519	338
28729_5_amp_28	Ia_25_17329C00054.1	1879	338
28729_5_amp_29	Ia_26_17150C00051.1	38817	338
28729_5_amp_30	Ia_29_19480C00009.1	81923	338
28729_5_amp_31	Ia_30_6268C00096.1	36838	338
28729_5_amp_32	Ic_32_1122.1	4522399	338
28729_5_amp_33	Ic_33_6266C00031.1	58208	338
28729_5_amp_34	Ic_34_23503C00393.1	54081	338
28729_5_amp_35	I_3_22829C00042.2	15565	338
28729_8_amp_1	III_11_6264C00005.1	323916	456
28729_8_amp_2	III_12_6265C00001.1	52627	456
28729_8_amp_3	III_13_6010C00001.1	1735766	456
28729_8_amp_4	III_14_1121.1	1119260	456
28729_8_amp_5	III_15_10759C00203.1	10019	456
28729_8_amp_6	III_36_22311C00010.1	2826	456
28729_8_amp_7	III_37_9940C00464.1	38236	456
28729_8_amp_8	III_40_23543C00152.1	252135	456
28729_8_amp_9	III_41_22826C00507.1	3624	456
28729_8_amp_10	IV_20_6269C00006.1	522582	459
28729_8_amp_11	I_2_22603C00018.1	10876	459
28729_8_amp_12	I_38_22827C00083.1	7011	456
28729_8_amp_13	I_4_22608C00016.1	72203	456
28729_8_amp_14	I_5_22828C00006.2	205662	456
28729_8_amp_15	I_6_22825C00140.1	1946	456
28729_8_amp_16	Ia_21_284.1	6522045	456
28729_8_amp_17	Ia_22_14731C00202.1	5518	456
28729_8_amp_18	Ia_23_10528C00010.1	7381	456
28729_8_amp_19	Ia_27_19479C00019.1	23120	456
28729_8_amp_20	Ia_28_14556C00007.1	29727	456
28729_8_amp_21	Ia_29_19480C00009.1	81924	456
28729_8_amp_22	Ia_30_6268C00096.1	36839	456
28729_8_amp_23	Ia_31_6270C00018.1	31076	456
28729_8_amp_24	Ic_32_1122.1	4522280	456
28729_8_amp_25	Ic_33_6266C00031.1	58209	456
28729_8_amp_26	Ic_34_23503C00393.1	54082	456
28729_8_amp_27	I_3_22829C00042.2	15566	459
393_4_amp_1	III_11_6264C00030.1	7444	635
393_4_amp_2	III_12_6265C00057.1	6113	635
393_4_amp_3	III_13_6010C00001.1	482120	635
393_4_amp_4	III_14_1121.1	6649086	635
393_4_amp_5	III_36_22311C00016.1	93659	635
393_4_amp_6	III_37_9940C00393.1	9251	635
393_4_amp_7	III_40_23543C00119.1	37192	635
393_4_amp_8	III_41_22826C00530.1	3271	635
393_4_amp_9	II_10_6272C00031.1	2700	635
393_4_amp_10	II_9_2088.2	2552420	635
393_4_amp_11	IV_16_6263.1	6017717	635
393_4_amp_12	IV_17_22599C00038.1	26168	635
393_4_amp_13	IV_18_22602C00963.1	15940	635
393_4_amp_14	IV_19_6271C00002.1	571226	635
393_4_amp_15	IV_20_6269C00002.1	313813	635
393_4_amp_16	IV_39_21414C00019.1	27826	635
393_4_amp_17	IV_7_22597C00314.1	27813	635
393_4_amp_18	IV_8_22598C00368.1	1491	635
393_4_amp_19	I_1_22555C00039.1	35116	635
393_4_amp_20	I_2_22603C00071.1	6827	635
393_4_amp_21	I_35_18770C00044.1	6814	635
393_4_amp_22	I_38_22827C00048.1	895	635
393_4_amp_23	I_4_22608C00044.1	50390	635
393_4_amp_24	I_6_22825C00448.1	1202	635
393_4_amp_25	Ia_21_284.1	1916275	635
393_4_amp_26	Ia_22_14731C00067.1	4345	635
393_4_amp_27	Ia_23_10528C00132.1	7408	635
393_4_amp_28	Ia_24_14478C00038.1	2924	635
393_4_amp_29	Ia_25_17329C00108.1	3070	635
393_4_amp_30	Ia_26_17150C00102.1	2995	635
393_4_amp_31	Ia_27_19479C00008.1	184035	635
393_4_amp_32	Ia_28_14556C00140.1	5501	635
393_4_amp_33	Ia_29_19480C00019.1	144384	635
393_4_amp_34	Ia_30_6268C00058.1	117258	635
393_4_amp_35	Ia_31_6270C00038.1	7894	635
393_4_amp_36	Ic_32_1122.1	1259211	635
393_4_amp_37	Ic_33_6266C00040.1	41639	635
393_4_amp_38	Ic_34_23503C00018.1	6489	635
393_4_amp_39	I_3_22829C00417.2	1090	635
393_7_amp_1	III_11_6264C00030.1	7718	358
393_7_amp_2	III_12_6265C00057.1	6387	358
393_7_amp_3	III_13_6010C00001.1	482123	358
393_7_amp_4	III_14_1121.1	6649089	358
393_7_amp_5	III_15_10759C00315.1	24923	358
393_7_amp_6	III_36_22311C00016.1	93662	358
393_7_amp_7	III_37_9940C00393.1	9525	358
393_7_amp_8	III_40_23543C00119.1	37195	358
393_7_amp_9	III_41_22826C00530.1	3274	358
393_7_amp_10	II_10_6272C00031.1	2974	358
393_7_amp_11	II_9_2088.2	2552694	358
393_7_amp_12	IV_16_6263.1	6017720	358
393_7_amp_13	IV_17_22599C00038.1	26442	358
393_7_amp_14	IV_18_22602C00963.1	16214	358
393_7_amp_15	IV_19_6271C00002.1	571229	358
393_7_amp_16	IV_20_6269C00002.1	313816	358
393_7_amp_17	IV_39_21414C00019.1	28100	358
393_7_amp_18	IV_7_22597C00314.1	28087	358
393_7_amp_19	IV_8_22598C00368.1	1494	358
393_7_amp_20	I_1_22555C00039.1	35119	358
393_7_amp_21	I_2_22603C00071.1	7101	358
393_7_amp_22	I_35_18770C00044.1	7088	358
393_7_amp_23	I_38_22827C00048.1	1169	358
393_7_amp_24	I_4_22608C00044.1	50393	358
393_7_amp_25	I_5_22828C00025.2	34834	358
393_7_amp_26	I_6_22825C00448.1	1476	358
393_7_amp_27	Ia_21_284.1	1916549	358
393_7_amp_28	Ia_22_14731C00067.1	4348	358
393_7_amp_29	Ia_23_10528C00132.1	7682	358
393_7_amp_30	Ia_24_14478C00038.1	3198	358
393_7_amp_31	Ia_25_17329C00108.1	3344	358
393_7_amp_32	Ia_26_17150C00102.1	3269	358
393_7_amp_33	Ia_27_19479C00008.1	184038	358
393_7_amp_34	Ia_28_14556C00140.1	5504	358
393_7_amp_35	Ia_29_19480C00019.1	144387	358
393_7_amp_36	Ia_30_6268C00058.1	117261	358
393_7_amp_37	Ia_31_6270C00038.1	8168	358
393_7_amp_38	Ic_32_1122.1	1259485	358
393_7_amp_39	Ic_33_6266C00040.1	41642	358
393_7_amp_40	Ic_34_23503C00018.1	6763	358
393_7_amp_41	I_3_22829C00417.2	1364	358
393_8_amp_1	III_11_6264C00030.1	7832	699
393_8_amp_2	III_12_6265C00057.1	6501	699
393_8_amp_3	III_13_6010C00001.1	481668	699
393_8_amp_4	III_14_1121.1	6648634	699
393_8_amp_5	III_15_10759C00315.1	24468	699
393_8_amp_6	III_36_22311C00016.1	93207	699
393_8_amp_7	III_37_9940C00393.1	9639	699
393_8_amp_8	III_40_23543C00119.1	36740	699
393_8_amp_9	III_41_22826C00530.1	2819	699
393_8_amp_10	II_10_6272C00031.1	3088	699
393_8_amp_11	II_9_2088.2	2552808	699
393_8_amp_12	IV_16_6263.1	6017265	699
393_8_amp_13	IV_19_6271C00002.1	570774	699
393_8_amp_14	IV_20_6269C00002.1	313361	699
393_8_amp_15	IV_39_21414C00019.1	28214	699
393_8_amp_16	IV_7_22597C00314.1	28201	699
393_8_amp_17	IV_8_22598C00368.1	1039	699
393_8_amp_18	I_1_22555C00039.1	34664	699
393_8_amp_19	I_35_18770C00044.1	7202	699
393_8_amp_20	I_38_22827C00048.1	1283	699
393_8_amp_21	I_4_22608C00044.1	49938	699
393_8_amp_22	I_5_22828C00025.2	34948	699
393_8_amp_23	I_6_22825C00448.1	1590	699
393_8_amp_24	Ia_22_14731C00067.1	3893	699
393_8_amp_25	Ia_24_14478C00038.1	3312	699
393_8_amp_26	Ia_25_17329C00108.1	3458	699
393_8_amp_27	Ia_26_17150C00102.1	3383	699
393_8_amp_28	Ia_27_19479C00008.1	183583	699
393_8_amp_29	Ia_28_14556C00140.1	5049	699
393_8_amp_30	Ia_30_6268C00058.1	116806	699
393_8_amp_31	Ia_31_6270C00038.1	8282	699
393_11_amp_1	III_11_6264C00030.1	7448	565
393_11_amp_2	III_12_6265C00057.1	6117	565
393_11_amp_3	III_13_6010C00001.1	482186	565
393_11_amp_4	III_14_1121.1	6649152	565
393_11_amp_5	III_36_22311C00016.1	93725	565
393_11_amp_6	III_37_9940C00393.1	9255	565
393_11_amp_7	III_40_23543C00119.1	37258	565
393_11_amp_8	III_41_22826C00530.1	3337	565
393_11_amp_9	I_1_22555C00039.1	35182	565
393_11_amp_10	I_35_18770C00044.1	6818	565
393_11_amp_11	I_38_22827C00048.1	899	565
393_11_amp_12	I_4_22608C00044.1	50456	565
393_11_amp_13	I_6_22825C00448.1	1206	565
393_11_amp_14	Ia_21_284.1	1916279	565
393_11_amp_15	Ia_22_14731C00067.1	4411	565
393_11_amp_16	Ia_23_10528C00132.1	7412	565
393_11_amp_17	Ia_24_14478C00038.1	2928	565
393_11_amp_18	Ia_25_17329C00108.1	3074	565
393_11_amp_19	Ia_26_17150C00102.1	2999	565
393_11_amp_20	Ia_27_19479C00008.1	184101	565
393_11_amp_21	Ia_28_14556C00140.1	5567	565
393_11_amp_22	Ia_29_19480C00019.1	144450	565
393_11_amp_23	Ia_30_6268C00058.1	117324	565
393_11_amp_24	Ia_31_6270C00038.1	7898	565
393_11_amp_25	Ic_32_1122.1	1259215	565
393_11_amp_26	Ic_33_6266C00040.1	41705	565
393_11_amp_27	Ic_34_23503C00018.1	6493	565
393_11_amp_28	I_3_22829C00417.2	1094	565
393_12_amp_1	III_11_6264C00030.1	7995	520
393_12_amp_2	III_12_6265C00057.1	6664	520
393_12_amp_3	III_13_6010C00001.1	481684	520
393_12_amp_4	III_14_1121.1	6648650	520
393_12_amp_5	III_15_10759C00315.1	24484	520
393_12_amp_6	III_36_22311C00016.1	93223	520
393_12_amp_7	III_37_9940C00393.1	9802	520
393_12_amp_8	III_40_23543C00119.1	36756	520
393_12_amp_9	III_41_22826C00530.1	2835	520
393_12_amp_10	I_1_22555C00039.1	34680	520
393_12_amp_11	I_35_18770C00044.1	7365	520
393_12_amp_12	I_38_22827C00048.1	1446	520
393_12_amp_13	I_4_22608C00044.1	49954	520
393_12_amp_14	I_5_22828C00025.2	35111	520
393_12_amp_15	I_6_22825C00448.1	1753	520
393_12_amp_16	Ia_21_284.1	1916826	520
393_12_amp_17	Ia_22_14731C00067.1	3909	520
393_12_amp_18	Ia_23_10528C00132.1	7959	520
393_12_amp_19	Ia_24_14478C00038.1	3475	520
393_12_amp_20	Ia_25_17329C00108.1	3621	520
393_12_amp_21	Ia_26_17150C00102.1	3546	520
393_12_amp_22	Ia_27_19479C00008.1	183599	520
393_12_amp_23	Ia_28_14556C00140.1	5065	520
393_12_amp_24	Ia_29_19480C00019.1	143948	520
393_12_amp_25	Ia_30_6268C00058.1	116822	520
393_12_amp_26	Ia_31_6270C00038.1	8445	520
393_12_amp_27	Ic_32_1122.1	1259762	520
393_12_amp_28	Ic_33_6266C00040.1	41203	520
393_12_amp_29	Ic_34_23503C00018.1	7040	520
393_12_amp_30	I_3_22829C00417.2	1641	520
393_13_amp_1	III_11_6264C00030.1	8043	467
393_13_amp_2	III_12_6265C00057.1	6712	467
393_13_amp_3	III_13_6010C00001.1	481689	467
393_13_amp_4	III_14_1121.1	6648655	467
393_13_amp_5	III_15_10759C00315.1	24489	467
393_13_amp_6	III_36_22311C00016.1	93228	467
393_13_amp_7	III_37_9940C00393.1	9850	467
393_13_amp_8	III_40_23543C00119.1	36761	467
393_13_amp_9	III_41_22826C00530.1	2840	467
393_13_amp_10	II_10_6272C00031.1	3299	467
393_13_amp_11	II_9_2088.2	2553019	467
393_13_amp_12	IV_17_22599C00038.1	26767	467
393_13_amp_13	IV_18_22602C00963.1	16539	467
393_13_amp_14	IV_20_6269C00002.1	313382	467
393_13_amp_15	I_1_22555C00039.1	34685	467
393_13_amp_16	I_2_22603C00071.1	7426	467
393_13_amp_17	I_35_18770C00044.1	7413	467
393_13_amp_18	I_38_22827C00048.1	1494	467
393_13_amp_19	I_4_22608C00044.1	49959	467
393_13_amp_20	I_5_22828C00025.2	35159	467
393_13_amp_21	I_6_22825C00448.1	1801	467
393_13_amp_22	Ia_21_284.1	1916874	467
393_13_amp_23	Ia_22_14731C00067.1	3914	467
393_13_amp_24	Ia_23_10528C00132.1	8007	467
393_13_amp_25	Ia_24_14478C00038.1	3523	467
393_13_amp_26	Ia_25_17329C00108.1	3669	467
393_13_amp_27	Ia_26_17150C00102.1	3594	467
393_13_amp_28	Ia_27_19479C00008.1	183604	467
393_13_amp_29	Ia_28_14556C00140.1	5070	467
393_13_amp_30	Ia_29_19480C00019.1	143953	467
393_13_amp_31	Ia_30_6268C00058.1	116827	467
393_13_amp_32	Ia_31_6270C00038.1	8493	467
393_13_amp_33	Ic_32_1122.1	1259810	467
393_13_amp_34	Ic_33_6266C00040.1	41208	467
393_13_amp_35	Ic_34_23503C00018.1	7088	467
393_13_amp_36	I_3_22829C00417.2	1689	467
393_19_amp_1	III_11_6264C00030.1	7361	376
393_19_amp_2	III_12_6265C00057.1	6030	376
393_19_amp_3	III_13_6010C00001.1	482462	376
393_19_amp_4	III_14_1121.1	6649428	376
393_19_amp_5	III_15_10759C00315.1	25262	376
393_19_amp_6	III_36_22311C00016.1	94001	376
393_19_amp_7	III_37_9940C00393.1	9168	376
393_19_amp_8	III_40_23543C00119.1	37534	376
393_19_amp_9	III_41_22826C00530.1	3613	376
393_19_amp_10	II_10_6272C00031.1	2617	376
393_19_amp_11	II_9_2088.2	2552337	376
393_19_amp_12	IV_16_6263.1	6018059	376
393_19_amp_13	IV_17_22599C00038.1	26085	376
393_19_amp_14	IV_18_22602C00963.1	15857	376
393_19_amp_15	IV_19_6271C00002.1	571568	376
393_19_amp_16	IV_20_6269C00002.1	314155	376
393_19_amp_17	IV_39_21414C00019.1	27743	376
393_19_amp_18	IV_7_22597C00314.1	27730	376
393_19_amp_19	IV_8_22598C00368.1	1833	376
393_19_amp_20	I_1_22555C00039.1	35458	376
393_19_amp_21	I_2_22603C00071.1	6744	376
393_19_amp_22	I_35_18770C00044.1	6731	376
393_19_amp_23	I_38_22827C00048.1	812	376
393_19_amp_24	I_4_22608C00044.1	50732	376
393_19_amp_25	I_5_22828C00025.2	34477	376
393_19_amp_26	I_6_22825C00448.1	1119	376
393_19_amp_27	Ia_21_284.1	1916192	376
393_19_amp_28	Ia_22_14731C00067.1	4687	376
393_19_amp_29	Ia_23_10528C00132.1	7325	376
393_19_amp_30	Ia_24_14478C00038.1	2841	376
393_19_amp_31	Ia_25_17329C00108.1	2987	376
393_19_amp_32	Ia_26_17150C00102.1	2912	376
393_19_amp_33	Ia_27_19479C00008.1	184377	376
393_19_amp_34	Ia_28_14556C00140.1	5843	376
393_19_amp_35	Ia_29_19480C00019.1	144726	376
393_19_amp_36	Ia_30_6268C00058.1	117600	376
393_19_amp_37	Ia_31_6270C00038.1	7811	376
393_19_amp_38	Ic_32_1122.1	1259128	376
393_19_amp_39	Ic_33_6266C00040.1	41981	376
393_19_amp_40	Ic_34_23503C00018.1	6406	376
393_19_amp_41	I_3_22829C00417.2	1007	376
34764_1_amp_1	III_14_1121.1	7134745	575
34764_1_amp_2	III_36_22311C00047.1	54567	575
34764_1_amp_3	III_37_9940C00605.1	4469	575
34764_1_amp_4	III_41_22826C00801.1	244	575
34764_1_amp_5	I_2_22603C00008.1	41373	575
34764_1_amp_6	Ia_21_284.1	1343704	575
34764_1_amp_7	Ia_22_14731C00338.1	2942	575
34764_1_amp_8	Ia_27_19479C00006.1	90077	575
34764_1_amp_9	Ia_28_14556C00005.1	29828	575
34764_1_amp_10	Ia_29_19480C00008.1	97111	575
34764_1_amp_11	Ia_30_6268C00062.1	282178	575
34764_1_amp_12	Ia_31_6270C00011.1	119185	575
34764_1_amp_13	I_3_22829C00652.2	2049	575
2802_2_amp_1	III_11_6264C00002.1	450290	653
2802_2_amp_2	III_12_6265C00002.1	91138	653
2802_2_amp_3	III_13_6010C00003.1	460076	653
2802_2_amp_4	III_14_1121.1	6326195	653
2802_2_amp_5	III_15_10759C00271.1	4629	653
2802_2_amp_6	III_36_22311C00078.1	20377	653
2802_2_amp_7	III_37_9940C00304.1	9835	653
2802_2_amp_8	III_40_23543C00114.1	18728	653
2802_2_amp_9	III_41_22826C00819.1	1152	653
2802_2_amp_10	IV_16_6263.1	2402263	653
2802_2_amp_11	IV_17_22599C00266.1	1234	653
2802_2_amp_12	IV_18_22602C01045.1	1158	653
2802_2_amp_13	IV_19_6271C00001.1	6834026	653
2802_2_amp_14	IV_20_6269C00011.1	458423	653
2802_2_amp_15	IV_39_21414C00273.1	6334	653
2802_2_amp_16	IV_7_22597C00071.1	6322	653
2802_2_amp_17	IV_8_22598C00094.1	1145	653
2802_2_amp_18	I_1_22555C00009.1	93315	653
2802_2_amp_19	I_2_22603C00031.1	39269	653
2802_2_amp_20	I_35_18770C00020.1	95792	653
2802_2_amp_21	I_38_22827C00033.1	33993	653
2802_2_amp_22	I_4_22608C00003.1	109706	653
2802_2_amp_23	I_5_22828C00011.2	96247	653
2802_2_amp_24	I_6_22825C00885.1	443	653
2802_2_amp_25	Ia_21_284.1	2089755	653
2802_2_amp_26	Ia_22_14731C00022.1	6501	653
2802_2_amp_27	Ia_23_10528C00074.1	16223	653
2802_2_amp_28	Ia_24_14478C00033.1	17831	653
2802_2_amp_29	Ia_25_17329C00076.1	29116	653
2802_2_amp_30	Ia_26_17150C00075.1	29060	653
2802_2_amp_31	Ia_27_19479C00008.1	19542	653
2802_2_amp_32	Ia_28_14556C00047.1	6590	653
2802_2_amp_33	Ia_29_19480C00017.1	18684	653
2802_2_amp_34	Ia_30_6268C00053.1	132487	653
2802_2_amp_35	Ia_31_6270C00001.1	130781	653
2802_2_amp_36	Ic_32_1122.1	1457166	653
2802_2_amp_37	Ic_33_6266C00012.1	17706	653
2802_2_amp_38	Ic_34_23503C00121.1	3654	653
2802_2_amp_39	I_3_22829C01265.2	492	653
2802_3_amp_1	III_11_6264C00002.1	450528	412
2802_3_amp_2	III_12_6265C00002.1	91141	412
2802_3_amp_3	III_13_6010C00003.1	460079	412
2802_3_amp_4	III_14_1121.1	6326433	412
2802_3_amp_5	III_15_10759C00271.1	4632	412
2802_3_amp_6	III_36_22311C00078.1	20380	412
2802_3_amp_7	III_37_9940C00304.1	9838	412
2802_3_amp_8	III_40_23543C00114.1	18966	412
2802_3_amp_9	III_41_22826C00819.1	1390	412
2802_3_amp_10	IV_16_6263.1	2402266	412
2802_3_amp_11	IV_17_22599C00266.1	1472	412
2802_3_amp_12	IV_18_22602C01045.1	1396	412
2802_3_amp_13	IV_20_6269C00011.1	458426	412
2802_3_amp_14	IV_39_21414C00273.1	6337	412
2802_3_amp_15	IV_7_22597C00071.1	6325	412
2802_3_amp_16	IV_8_22598C00094.1	1383	412
2802_3_amp_17	I_1_22555C00009.1	93318	412
2802_3_amp_18	I_2_22603C00031.1	39507	412
2802_3_amp_19	I_35_18770C00020.1	95795	412
2802_3_amp_20	I_38_22827C00033.1	33996	412
2802_3_amp_21	I_4_22608C00003.1	109944	412
2802_3_amp_22	I_5_22828C00011.2	96485	412
2802_3_amp_23	I_6_22825C00885.1	681	412
2802_3_amp_24	Ia_21_284.1	2089758	412
2802_3_amp_25	Ia_22_14731C00022.1	6504	412
2802_3_amp_26	Ia_23_10528C00074.1	16461	412
2802_3_amp_27	Ia_24_14478C00033.1	18069	412
2802_3_amp_28	Ia_25_17329C00076.1	29119	412
2802_3_amp_29	Ia_26_17150C00075.1	29063	412
2802_3_amp_30	Ia_27_19479C00008.1	19780	412
2802_3_amp_31	Ia_28_14556C00047.1	6593	412
2802_3_amp_32	Ia_29_19480C00017.1	18687	412
2802_3_amp_33	Ia_30_6268C00053.1	132725	412
2802_3_amp_34	Ia_31_6270C00001.1	130784	412
2802_3_amp_35	Ic_32_1122.1	1457169	412
2802_3_amp_36	Ic_33_6266C00012.1	17709	412
2802_3_amp_37	Ic_34_23503C00121.1	3657	412
2802_3_amp_38	I_3_22829C01265.2	730	412
2802_5_amp_1	III_11_6264C00002.1	450529	413
2802_5_amp_2	III_12_6265C00002.1	91139	413
2802_5_amp_3	III_13_6010C00003.1	460077	413
2802_5_amp_4	III_14_1121.1	6326434	413
2802_5_amp_5	III_15_10759C00271.1	4630	413
2802_5_amp_6	III_36_22311C00078.1	20378	413
2802_5_amp_7	III_37_9940C00304.1	9836	413
2802_5_amp_8	III_40_23543C00114.1	18967	413
2802_5_amp_9	III_41_22826C00819.1	1391	413
2802_5_amp_10	IV_16_6263.1	2402264	413
2802_5_amp_11	IV_17_22599C00266.1	1473	413
2802_5_amp_12	IV_18_22602C01045.1	1397	413
2802_5_amp_13	IV_20_6269C00011.1	458424	413
2802_5_amp_14	IV_39_21414C00273.1	6335	413
